NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F2	483	0.20277418196201324	-0.0069741444	No	
row_1	MASP2	739	0.16610369086265564	-0.0072354963	No	
row_2	MST1	881	0.15275289118289948	-0.0041404516	No	
row_3	CPQ	1076	0.13732337951660156	-0.0026058368	No	
row_4	PROZ	1522	0.11201687157154083	-0.008461183	No	
row_5	MSRB2	2051	0.09343355894088745	-0.01676022	No	
row_6	GNG12	2207	0.08903428167104721	-0.0140773645	No	
row_7	CPB2	2284	0.0867624580860138	-0.009068585	No	
row_8	CTSV	3310	0.06603604555130005	-0.032000333	No	
row_9	SERPINC1	3355	0.06504850089550018	-0.026049407	No	
row_10	ADAM9	4485	0.0487910620868206	-0.052043132	No	
row_11	CTSB	4563	0.04777270928025246	-0.047063794	No	
row_12	MMP8	4677	0.04669403284788132	-0.04314437	No	
row_13	RABIF	4907	0.04423002898693085	-0.04264023	No	
row_14	DUSP14	5211	0.04110359400510788	-0.0443148	No	
row_15	HNF4A	5488	0.0386076420545578	-0.045194436	No	
row_16	MMP10	5514	0.03839239105582237	-0.03868411	No	
row_17	CASP9	5635	0.03720548376441002	-0.034970783	No	
row_18	CD9	6273	0.031538721174001694	-0.046479005	No	
row_19	LAMP2	6280	0.03148726001381874	-0.039409284	No	
row_20	BMP1	6323	0.031208792701363564	-0.033399474	No	
row_21	DCT	6685	0.02865028567612171	-0.036781684	No	
row_22	CAPN2	7318	0.02435106784105301	-0.048142698	No	
row_23	HMGCS2	7354	0.024176903069019318	-0.041926794	No	
row_24	F12	7793	0.02159075066447258	-0.047576044	No	
row_25	PREP	10074	0.010779201984405518	-0.10745759	No	
row_26	RAC1	10090	0.010738035663962364	-0.10065285	No	
row_27	FGA	10643	0.008720622397959232	-0.109658495	No	
row_28	MBL2	10962	0.007702493108808994	-0.1117747	No	
row_29	LTA4H	11168	0.007134431041777134	-0.11056395	No	
row_30	GP1BA	11173	0.007123688235878944	-0.10343534	No	
row_31	C8A	11340	0.00660746218636632	-0.10107634	No	
row_32	SERPINB2	11768	0.005317130126059055	-0.106401734	No	
row_33	S100A13	12121	0.0043596187606453896	-0.10951897	No	
row_34	PF4	13290	0.0019476200686767697	-0.13666093	No	
row_35	CTSH	13413	0.001728247501887381	-0.13300648	No	
row_36	APOC3	13986	9.483576868660748E-4	-0.14260098	No	
row_37	KLKB1	14383	4.997409414499998E-4	-0.14701366	No	
row_38	C8B	16423	-0.0017084403662011027	-0.19979967	No	
row_39	F3	16733	-0.0021704307291656733	-0.20165089	No	
row_40	GP9	16836	-0.0023501955438405275	-0.1974076	No	
row_41	MEP1A	17135	-0.00286310026422143	-0.19893497	No	
row_42	GDA	17822	-0.004282701760530472	-0.21188585	No	
row_43	MMP7	17977	-0.0045785424299538136	-0.20917356	No	
row_44	HPN	18152	-0.004945462103933096	-0.2070501	No	
row_45	ARF4	18161	-0.004965260624885559	-0.20003927	No	
row_46	F8	18221	-0.005109547637403011	-0.19452997	No	
row_47	CSRP1	18568	-0.005935369990766048	-0.19747055	No	
row_48	S100A1	19469	-0.008256126195192337	-0.21672204	No	
row_49	DUSP6	20007	-0.009614146314561367	-0.22528605	No	
row_50	F9	20080	-0.009834527038037777	-0.2201595	No	
row_51	ANG	20243	-0.010280737653374672	-0.21768275	No	
row_52	MMP1	20327	-0.010499742813408375	-0.21288006	No	
row_53	GNB2	21181	-0.013026293367147446	-0.23074777	No	
row_54	LEFTY2	21377	-0.013639619573950768	-0.2292426	No	
row_55	ITIH1	21808	-0.01510768011212349	-0.23465632	No	
row_56	MMP14	22190	-0.016420241445302963	-0.23862736	No	
row_57	PEF1	23006	-0.019410116598010063	-0.25537628	No	
row_58	F10	23277	-0.02047528140246868	-0.25607926	No	
