NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PFN2	812	0.15963733196258545	-0.018898765	No	
row_1	SLC6A8	1082	0.13672232627868652	-0.021782193	No	
row_2	CD44	1148	0.13207246363162994	-0.018648809	No	
row_3	ENO2	1269	0.12453648447990417	-0.017137606	No	
row_4	GADD45A	2192	0.08934024721384048	-0.039280728	No	
row_5	SNTB1	2560	0.07996731251478195	-0.045054585	No	
row_6	SGCD	2828	0.07467145472764969	-0.047879025	No	
row_7	ITGAV	3021	0.07094116508960724	-0.048491403	No	
row_8	MCM7	3834	0.05720144137740135	-0.067390166	No	
row_9	MATN3	4060	0.05414785072207451	-0.06897585	No	
row_10	PLOD1	4155	0.05291689932346344	-0.0666978	No	
row_11	TGFBR3	4791	0.04550737515091896	-0.080376096	No	
row_12	SNAI2	4959	0.04371066018939018	-0.08025112	No	
row_13	DST	5484	0.03866534307599068	-0.09065556	No	
row_14	BMP1	6323	0.031208792701363564	-0.11032117	No	
row_15	VIM	6342	0.031084995716810226	-0.10580156	No	
row_16	VEGFA	6396	0.03075215220451355	-0.10231425	No	
row_17	LAMC2	6427	0.030613048002123833	-0.09814857	No	
row_18	PCOLCE2	6726	0.028329288586974144	-0.10188733	No	
row_19	P3H1	7183	0.02542727440595627	-0.11028617	No	
row_20	TNFRSF11B	7895	0.02101460099220276	-0.12620603	No	
row_21	SAT1	8014	0.02036234550178051	-0.12463583	No	
row_22	COL11A1	8164	0.01957794837653637	-0.123979956	No	
row_23	MEST	9266	0.014061816036701202	-0.15140253	No	
row_24	CXCL8	9973	0.011207826435565948	-0.16717492	No	
row_25	RHOB	10459	0.009398059919476509	-0.1764291	No	
row_26	COL7A1	10488	0.009287307970225811	-0.17220442	No	
row_27	TNFRSF12A	10973	0.0076678735204041	-0.18142909	No	
row_28	LAMA1	11036	0.007485528476536274	-0.17820723	No	
row_29	TNC	11220	0.0070019974373281	-0.17855416	No	
row_30	EMP3	12447	0.0035462507512420416	-0.20966351	No	
row_31	FLNA	14000	9.270482114516199E-4	-0.25038797	No	
row_32	COL16A1	14500	3.839297569356859E-4	-0.26005507	No	
row_33	CTHRC1	15731	-8.713806746527553E-4	-0.2912824	No	
row_34	FERMT2	15812	-9.470435325056314E-4	-0.2885914	No	
row_35	SPOCK1	15847	-9.829201735556126E-4	-0.28454372	No	
row_36	CDH2	15965	-0.0011157050030305982	-0.28294402	No	
row_37	PMP22	16426	-0.0017092283815145493	-0.29146084	No	
row_38	CXCL1	17013	-0.002647989895194769	-0.30369392	No	
row_39	SDC1	18267	-0.005225261207669973	-0.3355996	No	
row_40	DKK1	18879	-0.006718379911035299	-0.34857005	No	
row_41	MSX1	19397	-0.008054251782596111	-0.35876805	No	
row_42	CADM1	19653	-0.008715244010090828	-0.36123854	No	
row_43	PLOD3	19959	-0.009474236518144608	-0.36518377	No	
row_44	FUCA1	20023	-0.009654443711042404	-0.36199138	No	
row_45	MMP1	20327	-0.010499742813408375	-0.36587763	No	
row_46	BDNF	20372	-0.010619609616696835	-0.36212486	No	
row_47	AREG	20718	-0.011534509249031544	-0.36724985	No	
row_48	SFRP1	20826	-0.011835450306534767	-0.36535522	No	
row_49	PVR	20873	-0.012000160291790962	-0.36166143	No	
row_50	GPX7	20996	-0.01247638463973999	-0.36020923	No	
row_51	MAGEE1	21555	-0.01420190092176199	-0.37161648	No	
row_52	COLGALT1	21710	-0.014744345098733902	-0.37110806	No	
row_53	CAPG	21963	-0.015566565096378326	-0.3734901	No	
row_54	PTHLH	22126	-0.016215113922953606	-0.37321764	No	
row_55	MMP14	22190	-0.016420241445302963	-0.37002528	No	
row_56	CXCL6	22517	-0.017576009035110474	-0.37458986	No	
row_57	CAP2	22564	-0.017716173082590103	-0.3708961	No	
row_58	FBN2	23423	-0.021055109798908234	-0.3911516	No	
row_59	GPC1	23760	-0.022297948598861694	-0.39601114	No	
row_60	CALU	24084	-0.023699499666690826	-0.40048724	No	
row_61	SERPINE2	24660	-0.02610834315419197	-0.4123959	No	
row_62	CALD1	24950	-0.02752106450498104	-0.4158692	No	
row_63	NOTCH2	25167	-0.028565991669893265	-0.41718945	No	
row_64	GJA1	25439	-0.029957352206110954	-0.42013186	No	
row_65	LAMA3	25540	-0.03045600652694702	-0.41803077	No	
row_66	MMP3	25627	-0.03084583394229412	-0.41551676	No	
row_67	TPM4	25694	-0.03113090805709362	-0.41241288	No	
row_68	LGALS1	26799	-0.03779509291052818	-0.43992394	No	
row_69	LAMC1	26968	-0.03881989046931267	-0.43982846	No	
row_70	SCG2	27178	-0.04021709784865379	-0.44094223	Yes	
row_71	ELN	27204	-0.040329135954380035	-0.4366291	Yes	
row_72	COL5A3	27379	-0.041626010090112686	-0.43671057	Yes	
row_73	FSTL3	27476	-0.04229595139622688	-0.4344915	Yes	
row_74	SPP1	27554	-0.04301406443119049	-0.43171203	Yes	
row_75	COPA	27619	-0.04340358451008797	-0.42854917	Yes	
row_76	NT5E	27723	-0.044093068689107895	-0.42653656	Yes	
row_77	THBS2	28121	-0.04755188152194023	-0.43319523	Yes	
row_78	SGCG	28196	-0.04816083982586861	-0.4303273	Yes	
row_79	COL12A1	28215	-0.048382118344306946	-0.42580768	Yes	
