NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACADM	126	0.3643403649330139	0.0026576493	Yes	
row_1	HIBCH	180	0.3106676936149597	0.007465773	Yes	
row_2	BCKDHB	199	0.3002204895019531	0.013304946	Yes	
row_3	BPHL	354	0.23622864484786987	0.015137756	Yes	
row_4	RETSAT	509	0.19814471900463104	0.016970566	Yes	
row_5	PDHA1	575	0.1866447478532791	0.021425188	Yes	
row_6	CPOX	757	0.16470593214035034	0.022462616	Yes	
row_7	METAP1	826	0.15781988203525543	0.02682886	Yes	
row_8	CYP4A22	1023	0.14143827557563782	0.027424412	Yes	
row_9	CPT2	1064	0.13798096776008606	0.032615498	Yes	
row_10	UROD	1261	0.12522462010383606	0.03321105	Yes	
row_11	ENO2	1269	0.12453648447990417	0.039374266	Yes	
row_12	ADSL	1468	0.1141870841383934	0.039910898	Yes	
row_13	SUCLA2	1596	0.10933312773704529	0.04253909	Yes	
row_14	KMT5A	1639	0.1076660230755806	0.047671255	Yes	
row_15	SUCLG1	1828	0.10043616592884064	0.048502475	Yes	
row_16	IDH3B	2042	0.09363877773284912	0.04859723	Yes	
row_17	GCDH	2105	0.09204837679862976	0.053140227	Yes	
row_18	ETFDH	2124	0.09153315424919128	0.0589794	Yes	
row_19	DECR1	2157	0.09034623950719833	0.06440616	Yes	
row_20	ADIPOR2	2210	0.08891743421554565	0.06924374	Yes	
row_21	CCDC58	2404	0.08388973027467728	0.06992766	Yes	
row_22	GPD2	2469	0.0825226679444313	0.07441174	Yes	
row_23	ACADL	2502	0.08155546337366104	0.07983849	Yes	
row_24	D2HGDH	2506	0.08136125653982162	0.08611955	Yes	
row_25	SLC22A5	2518	0.08108048886060715	0.092164926	Yes	
row_26	HADH	2534	0.08067157119512558	0.098092474	Yes	
row_27	ACAT2	2676	0.07758589833974838	0.10030825	Yes	
row_28	BLVRA	2960	0.0719250813126564	0.098340906	Yes	
row_29	NTHL1	2964	0.07186909019947052	0.104621954	Yes	
row_30	CRYZ	2970	0.07180531322956085	0.11084409	Yes	
