NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYC	151	0.3372010886669159	5.968847E-4	No	
row_1	PDCD2L	452	0.2092202752828598	-0.0032008628	No	
row_2	UMPS	649	0.17531365156173706	-0.003931216	No	
row_3	P4HA1	1006	0.14260081946849823	-0.009380637	No	
row_4	EEF1AKMT1	1059	0.1382567137479782	-0.005863829	No	
row_5	PUS1	1113	0.1341855674982071	-0.0023765152	No	
row_6	CD44	1148	0.13207246363162994	0.0016711878	No	
row_7	PTRH2	1257	0.12550565600395203	0.003536322	No	
row_8	BMPR2	1520	0.11208222061395645	8.5935334E-4	No	
row_9	SMPDL3A	1613	0.10861988365650177	0.0031963943	No	
row_10	ANXA4	2182	0.08974917232990265	-0.008505791	No	
row_11	UCK2	2403	0.08392935991287231	-0.009944005	No	
row_12	RRAGD	2419	0.08361075818538666	-0.005335913	No	
row_13	CDC6	2566	0.07984546571969986	-0.004591557	No	
row_14	LCLAT1	2651	0.07802457362413406	-0.002018563	No	
row_15	HK2	2789	0.07544051855802536	-0.0010087598	No	
row_16	NOP2	2791	0.0753595232963562	0.0040122513	No	
row_17	ITGAV	3021	0.07094116508960724	0.00230859	No	
row_18	BCL2	3098	0.06968225538730621	0.005117538	No	
row_19	KLF6	3210	0.06769677251577377	0.0068941894	No	
row_20	SERPINC1	3355	0.06504850089550018	0.0076975334	No	
row_21	SNX14	3398	0.06409521400928497	0.011509283	No	
row_22	WLS	3973	0.0553102008998394	-3.6986807E-4	No	
row_23	IGF2R	4047	0.05428416654467583	0.0025275622	No	
row_24	CAPN3	4206	0.052316222339868546	0.0029179878	No	
row_25	PTCH1	4463	0.049065135419368744	4.17984E-4	No	
row_26	ARL4A	4466	0.04905584827065468	0.0054095006	No	
row_27	ST3GAL4	4884	0.04443444684147835	-0.0018390651	No	
row_28	SH3BGRL2	4951	0.043795034289360046	0.0012648244	No	
row_29	IGF1R	4975	0.04355862736701965	0.0056369635	No	
row_30	NCS1	5011	0.043072089552879333	0.009655172	No	
row_31	SLC1A5	5078	0.04248860478401184	0.0127590615	No	
row_32	EMP1	5132	0.04188327491283417	0.016246377	No	
row_33	ETFBKMT	5229	0.040924299508333206	0.01846544	No	
row_34	CDKN1C	5547	0.03806448355317116	0.014166292	No	
row_35	ENO3	5937	0.03474656492471695	0.0077435626	No	
row_36	IRF4	6349	0.03105548955500126	6.71962E-4	No	
row_37	SLC39A8	6536	0.02980993501842022	2.3655056E-4	No	
row_38	HIPK2	6577	0.029464080929756165	0.0041072886	No	
row_39	MUC1	6873	0.027412982657551765	4.5701215E-4	No	
row_40	SLC2A3	6903	0.02718549780547619	0.0046521863	No	
row_41	ITGA6	7063	0.026129797101020813	0.0050131176	No	
row_42	MYO1E	7356	0.024167653173208237	0.0014513234	No	
row_43	CD81	8054	0.0201671551913023	-0.014055612	No	
row_44	FAM126B	8136	0.019721494987607002	-0.011394135	No	
row_45	SOCS2	8331	0.01862962916493416	-0.012065499	No	
row_46	CCNE1	8339	0.018602484837174416	-0.0072214534	No	
row_47	SNX9	9583	0.012775197625160217	-0.038832206	No	
row_48	PHTF2	9832	0.011698395013809204	-0.04109626	No	
row_49	SLC29A2	10296	0.010034395381808281	-0.049701557	No	
row_50	RHOB	10459	0.009398059919476509	-0.049429107	No	
