NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SRI	2596	0.07911574095487595	-0.07151637	No	
row_1	ARID5B	4056	0.0541815310716629	-0.10949787	No	
row_2	RIPK1	4188	0.05244579166173935	-0.1083111	No	
row_3	ARL4A	4466	0.04905584827065468	-0.11143048	No	
row_4	TDRD7	5335	0.04005876183509827	-0.13198093	No	
row_5	ST3GAL5	6144	0.03281174972653389	-0.15076171	No	
row_6	IRF4	6349	0.03105548955500126	-0.15172802	No	
row_7	ISOC1	6666	0.028732294216752052	-0.15599766	No	
row_8	PNPT1	6917	0.027043132111430168	-0.15832071	No	
row_9	MTHFD2	8446	0.018137797713279724	-0.1983373	No	
row_10	GPR18	9021	0.015192517079412937	-0.21021645	No	
row_11	UPP1	9197	0.014395726844668388	-0.21032743	No	
row_12	TOR1B	9351	0.013722975738346577	-0.20978953	No	
row_13	PLA2G4A	9356	0.013691636733710766	-0.204857	No	
row_14	NUP93	9374	0.01364597026258707	-0.2003079	No	
row_15	RAPGEF6	10088	0.010742153972387314	-0.21628673	No	
row_16	CMTR1	11013	0.007537892088294029	-0.23848885	No	
row_17	LATS2	13537	0.0015347783919423819	-0.30785215	No	
row_18	BTG1	14085	8.307835669256747E-4	-0.31893495	No	
row_19	NFKB1	15692	-8.223667391575873E-4	-0.3612521	No	
row_20	AUTS2	17377	-0.0033433197531849146	-0.40586978	No	
row_21	PDE4B	17580	-0.00373810064047575	-0.4067771	No	
row_22	CASP1	17858	-0.004346226807683706	-0.4098965	No	
row_23	RIPK2	20397	-0.010673688724637032	-0.4797022	No	
row_24	PNP	20792	-0.011737685650587082	-0.4862724	No	
row_25	PELI1	21066	-0.012684214860200882	-0.4892738	No	
row_26	NAMPT	21441	-0.013835573568940163	-0.49525413	No	
row_27	GBP6	22662	-0.018066052347421646	-0.5261865	No	
row_28	CCL7	22879	-0.01887846738100052	-0.52750677	No	
row_29	CASP3	24017	-0.023381894454360008	-0.5559911	No	
row_30	BPGM	24803	-0.026807302609086037	-0.5740935	No	
row_31	MT2A	25057	-0.02799716591835022	-0.57650506	No	
row_32	PTGS2	25522	-0.030361728742718697	-0.5851399	No	
row_33	PTPN2	26424	-0.03535069525241852	-0.6066636	No	
row_34	PSMB2	26486	-0.035768959671258926	-0.6034122	No	
row_35	HLA-G	26880	-0.03829241171479225	-0.6099529	No	
row_36	LGALS3BP	27333	-0.04129360616207123	-0.6182338	No	
row_37	PSMA3	27516	-0.04269477352499962	-0.61855125	No	
row_38	CXCL11	27622	-0.04341134801506996	-0.6165976	No	
row_39	RTP4	27899	-0.045436132699251175	-0.6196875	No	
row_40	TRIM26	28020	-0.04651495814323425	-0.6181763	No	
