NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KNTC1	220	0.2836547791957855	-0.0014382134	Yes	
row_1	PKD2	306	0.2518012821674347	0.0011052868	Yes	
row_2	ALS2	406	0.22216317057609558	0.0032358686	Yes	
row_3	ATG4B	536	0.19222703576087952	0.0044816253	Yes	
row_4	LRPPRC	550	0.190639927983284	0.009148706	Yes	
row_5	KIF1B	679	0.17165647447109222	0.010423956	Yes	
row_6	CENPJ	795	0.1613791435956955	0.012082632	Yes	
row_7	ITSN1	999	0.1428050398826599	0.011145819	Yes	
row_8	CKAP5	1035	0.14056839048862457	0.015164028	Yes	
row_9	SASS6	1099	0.13524669408798218	0.0183564	Yes	
row_10	ABR	1433	0.1162860095500946	0.013585345	Yes	
row_11	WASF1	1488	0.11339620500802994	0.017043164	Yes	
row_12	HOOK3	1620	0.10837557911872864	0.018229933	Yes	
row_13	FGD4	1637	0.10770422220230103	0.022808531	Yes	
row_14	CEP57	1770	0.10227403044700623	0.023965806	Yes	
row_15	TUBGCP5	1903	0.09798019379377365	0.025123078	Yes	
row_16	PPP4R2	1959	0.09617859125137329	0.028551405	Yes	
row_17	SAC3D1	1968	0.0958729237318039	0.033365957	Yes	
row_18	KATNA1	2021	0.09416648000478745	0.036882766	Yes	
row_19	CEP192	2040	0.09368826448917389	0.041402373	Yes	
row_20	NF1	2118	0.09165079891681671	0.044181827	Yes	
row_21	NUSAP1	2236	0.08817503601312637	0.045781516	Yes	
row_22	ARHGAP10	2327	0.0856623724102974	0.048177544	Yes	
row_23	CDC42	2380	0.08437763154506683	0.051694352	Yes	
row_24	RACGAP1	2500	0.08163031935691833	0.05323505	Yes	
row_25	KIF2C	2535	0.08061030507087708	0.057282753	Yes	
row_26	CD2AP	2610	0.07885512709617615	0.06015069	Yes	
row_27	ARHGAP5	2611	0.07884079217910767	0.06520119	Yes	
row_28	TTK	2612	0.07882701605558395	0.070251696	Yes	
row_29	CLASP1	2700	0.07720692455768585	0.07273621	Yes	
row_30	FBXO5	2774	0.07570555061101913	0.07563364	Yes	
row_31	ALMS1	2967	0.07183340191841125	0.07502127	Yes	
row_32	LATS1	3135	0.06909903883934021	0.07514624	Yes	
row_33	CCNB2	3181	0.06825826317071915	0.07886951	Yes	
row_34	ANLN	3370	0.06468438357114792	0.07837511	Yes	
row_35	CEP131	3492	0.06245002523064613	0.07985682	Yes	
row_36	RHOT2	3535	0.061840806156396866	0.08366857	Yes	
row_37	CENPF	3545	0.06166425347328186	0.08845363	Yes	
row_38	RALBP1	3781	0.05800238996744156	0.086573005	Yes	
row_39	DLG1	3919	0.05607666075229645	0.087582804	Yes	
row_40	RFC1	4048	0.054274797439575195	0.08885805	Yes	
row_41	NEK2	4086	0.05384230986237526	0.09281728	Yes	
row_42	SSH2	4142	0.05308116227388382	0.0962456	Yes	
row_43	TBCD	4213	0.05219113454222679	0.09923151	Yes	
row_44	DLGAP5	4394	0.0499267540872097	0.098973066	Yes	
row_45	ECT2	4399	0.049837857484817505	0.103905596	Yes	
row_46	KIFAP3	4523	0.04829738661646843	0.105328314	Yes	
row_47	GEMIN4	4615	0.04722364619374275	0.10769485	Yes	
row_48	EPB41	4658	0.046911515295505524	0.1115066	Yes	
row_49	KIF23	4692	0.04647360369563103	0.1155838	Yes	
row_50	TOP2A	4727	0.046110305935144424	0.1196315	Yes	
row_51	ESPL1	4785	0.04556649178266525	0.12300084	Yes	
row_52	TUBGCP3	4804	0.04531216621398926	0.12752044	Yes	
row_53	ARFGEF1	4862	0.044660504907369614	0.13088979	Yes	
row_54	PLK1	4926	0.04399723559617996	0.13408215	Yes	
row_55	PRC1	5006	0.043108049780130386	0.13680263	Yes	
row_56	CENPE	5054	0.04270414263010025	0.1404669	Yes	
row_57	BUB1	5094	0.04229127615690231	0.14436713	Yes	
row_58	BIRC5	5200	0.041250165551900864	0.14632075	Yes	
row_59	ARFIP2	5314	0.04027114063501358	0.14803842	Yes	
row_60	CYTH2	5401	0.03947460651397705	0.15055242	Yes	
row_61	KIF20B	5418	0.039341725409030914	0.15513101	Yes	
row_62	DST	5484	0.03866534307599068	0.1582644	Yes	
row_63	KIF11	5697	0.036727890372276306	0.15706214	Yes	
row_64	SOS1	5717	0.036602962762117386	0.16155227	Yes	
row_65	KLC1	5917	0.034891556948423386	0.16073342	Yes	
row_66	CDK1	6026	0.03378826007246971	0.16259855	Yes	
row_67	PCNT	6079	0.03326365724205971	0.16611536	Yes	
row_68	TSC1	6106	0.033126864582300186	0.17039903	Yes	
row_69	SHROOM2	6235	0.03188279643654823	0.17167427	Yes	
row_70	MYH10	6255	0.03169778734445572	0.17616439	Yes	
row_71	CNTROB	6352	0.03104219026863575	0.17838345	Yes	
row_72	KIF22	6361	0.030982520431280136	0.183198	Yes	
row_73	DYNC1H1	6545	0.02976737916469574	0.18285108	Yes	
row_74	PCM1	6795	0.027936311438679695	0.18055753	Yes	
row_75	WASL	7012	0.026516856625676155	0.17923729	Yes	
row_76	RASA1	7163	0.02553241141140461	0.17986368	Yes	
row_77	TUBD1	7203	0.025266315788030624	0.1837639	Yes	
row_78	KPTN	7244	0.024853764101862907	0.18763465	Yes	
row_79	RANBP9	7301	0.024462321773171425	0.19103347	Yes	
row_80	MYO1E	7356	0.024167653173208237	0.1944913	Yes	
row_81	ABI1	7710	0.022034164518117905	0.18913035	Yes	
row_82	TPX2	7805	0.021553363651037216	0.19140841	Yes	
row_83	AURKA	7836	0.021381281316280365	0.19557409	Yes	
row_84	YWHAE	8026	0.020287880674004555	0.1950502	Yes	
row_85	RAB3GAP1	8152	0.019648849964141846	0.19641393	Yes	
row_86	PAFAH1B1	8198	0.019400430843234062	0.2001372	Yes	
row_87	SMC3	8568	0.017421230673789978	0.19430435	Yes	
row_88	RABGAP1	9032	0.015150018036365509	0.18569905	Yes	
row_89	CDC42BPA	9469	0.013236773200333118	0.17789009	Yes	
