NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAD51C	153	0.3341984450817108	5.8969803E-4	No	
row_1	PTPN14	282	0.257667601108551	0.001916707	No	
row_2	ABCC5	441	0.21145863831043243	0.0023589428	No	
row_3	RETSAT	509	0.19814471900463104	0.0054849903	No	
row_4	RPS12	574	0.18701332807540894	0.008699515	No	
row_5	SLC35D1	737	0.1662730872631073	0.009023781	No	
row_6	NUDT15	871	0.1539364904165268	0.010203328	No	
row_7	EI24	941	0.14755353331565857	0.013270391	No	
row_8	APAF1	1058	0.1383783370256424	0.014951309	No	
row_9	RB1	1314	0.12230038642883301	0.012532778	No	
row_10	POLH	1330	0.12118613719940186	0.017192433	No	
row_11	SLC19A2	1500	0.11297481507062912	0.017310252	No	
row_12	WRAP73	1577	0.10994306206703186	0.020170867	No	
row_13	RCHY1	1634	0.10779730975627899	0.023621332	No	
row_14	SESN1	1706	0.10490812361240387	0.026629409	No	
row_15	FDXR	1927	0.09723582118749619	0.025243115	No	
row_16	RRP8	2120	0.09159409254789352	0.024682608	No	
row_17	PRMT2	2189	0.08944614231586456	0.027779162	No	
row_18	GADD45A	2192	0.08934024721384048	0.032822218	No	
row_19	PPM1D	2211	0.08891624957323074	0.037393395	No	
row_20	COQ8A	2307	0.08613321930170059	0.039693654	No	
row_21	ELP1	2411	0.0837397575378418	0.041757975	No	
row_22	DNTTIP2	2622	0.07866377383470535	0.040666603	No	
row_23	CCNG1	2759	0.07595255225896835	0.041757673	No	
row_24	FBXW7	2766	0.07587161660194397	0.04668276	No	
row_25	PVT1	2797	0.07529012113809586	0.050900027	No	
row_26	CCP110	2978	0.07166069746017456	0.05069343	No	
row_27	TRIAP1	3003	0.07119990885257721	0.055087652	No	
row_28	DDB2	3004	0.07119162380695343	0.06018969	No	
row_29	TSC22D1	3032	0.07069585472345352	0.06449544	No	
row_30	BAIAP2	3261	0.06668547540903091	0.0628732	No	
row_31	CDK5R1	3301	0.06614948064088821	0.06682504	No	
row_32	TM7SF3	3366	0.06475086510181427	0.07003956	No	
row_33	PCNA	3867	0.05679205805063248	0.060395386	No	
row_34	CSRNP2	4154	0.05291929841041565	0.05706259	No	
row_35	HRAS	4307	0.05118060111999512	0.05768178	No	
row_36	CDKN2AIP	4388	0.050010547041893005	0.060424425	No	
row_37	OSGIN1	4598	0.04735443368554115	0.05936255	No	
row_38	ZMAT3	4921	0.04403219372034073	0.054968026	No	
row_39	ANKRA2	5061	0.04267651587724686	0.055970617	No	
row_40	ALOX15B	5181	0.04136766493320465	0.05756306	No	
row_41	RACK1	5315	0.04026130586862564	0.058742605	No	
row_42	CTSF	5390	0.039575427770614624	0.061662205	No	
row_43	SLC7A11	5707	0.036662209779024124	0.057444636	No	
row_44	POM121	5805	0.03579266741871834	0.05968591	No	
row_45	FOXO3	6094	0.033205416053533554	0.05629413	No	
row_46	TP53	6278	0.0314936563372612	0.055999056	No	
row_47	PMM1	6792	0.027947645634412766	0.045971476	No	
row_48	EPHA2	6828	0.027662942185997963	0.05004128	No	
row_49	FAM162A	7002	0.026575272902846336	0.05004113	No	
row_50	ZBTB16	7313	0.024411147460341454	0.046000514	No	
row_51	HINT1	7326	0.024320730939507484	0.050748646	No	
row_52	EPS8L2	7402	0.023908456787467003	0.053638756	No	
row_53	HSPA4L	7427	0.02377973310649395	0.05803298	No	
row_54	SLC3A2	7566	0.022925352677702904	0.059065063	No	
row_55	TPRKB	7716	0.021973825991153717	0.05977273	No	
row_56	SP1	7723	0.021915655583143234	0.06469782	No	
row_57	CCNK	7787	0.021610012277960777	0.06794183	No	
row_58	SAT1	8014	0.02036234550178051	0.066378586	No	
row_59	CD81	8054	0.0201671551913023	0.07033042	No	
row_60	HDAC3	8058	0.02016266994178295	0.07534398	No	
row_61	RPL36	8132	0.01972987875342369	0.07829308	No	
row_62	RAP2B	8494	0.017839163541793823	0.07274835	No	
row_63	PLK3	8497	0.017809242010116577	0.0777914	No	
row_64	ZNF365	9157	0.014555814675986767	0.06345793	No	
row_65	UPP1	9197	0.014395726844668388	0.06740976	No	
row_66	TRAF4	9213	0.014305525459349155	0.07206942	No	
row_67	IRAK1	9422	0.013434295542538166	0.07103703	No	
row_68	DDIT4	9548	0.012917418964207172	0.072452515	No	
row_69	TOB1	9656	0.012478714808821678	0.07439887	No	
row_70	RAB40C	11107	0.007312876172363758	0.036736876	No	
row_71	RPS27L	11191	0.007081206887960434	0.039391045	No	
row_72	TNFSF9	11634	0.0057211825624108315	0.03145743	No	
row_73	AK1	12549	0.0033145761117339134	0.009603385	No	
row_74	S100A10	12975	0.0024765871930867434	0.0021711402	No	
row_75	KRT17	13347	0.0018643897492438555	-0.0036685127	No	
