NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BNIP3	175	0.31322523951530457	0.005380468	Yes	
row_1	OCRL	305	0.2519280016422272	0.012113559	Yes	
row_2	ATP7A	470	0.20549337565898895	0.01781748	Yes	
row_3	VAMP3	601	0.18186135590076447	0.024521166	Yes	
row_4	DNM1L	660	0.17351962625980377	0.033342004	Yes	
row_5	KIF1B	679	0.17165647447109222	0.043339033	Yes	
row_6	RAB9A	717	0.16844870150089264	0.05277737	Yes	
row_7	TOM1L1	829	0.15742096304893494	0.060039748	Yes	
row_8	MON2	954	0.14620107412338257	0.06691986	Yes	
row_9	STAM	966	0.14509867131710052	0.077122726	Yes	
row_10	NAPG	1077	0.13711608946323395	0.084414504	Yes	
row_11	STX16	1098	0.1353020817041397	0.09435273	Yes	
row_12	VAMP7	1138	0.13256648182868958	0.10373226	Yes	
row_13	STX7	1178	0.130045548081398	0.11311178	Yes	
row_14	CLCN3	1292	0.1233801394701004	0.12031535	Yes	
row_15	RER1	1424	0.11684878915548325	0.12698963	Yes	
row_16	COG2	1462	0.11459720879793167	0.13642797	Yes	
row_17	ARFIP1	1703	0.10516488552093506	0.13989712	Yes	
row_18	RAB2A	2180	0.08978171646595001	0.13642673	Yes	
row_19	USO1	2185	0.0896952822804451	0.14683543	Yes	
row_20	VPS45	2268	0.08735884726047516	0.15495054	Yes	
row_21	YIPF6	2339	0.08536533266305923	0.16341853	Yes	
row_22	ZW10	2632	0.07844346761703491	0.16535863	Yes	
row_23	TMED2	2659	0.07792975008487701	0.17512041	Yes	
row_24	VPS4B	2900	0.07309902459383011	0.17858957	Yes	
row_25	ATP6V1B1	3065	0.0701441764831543	0.1842935	Yes	
row_26	CAV2	3307	0.06606967747211456	0.18773323	Yes	
row_27	TPD52	3521	0.06201306730508804	0.19199632	Yes	
row_28	CLTC	3562	0.06128447502851486	0.20134644	Yes	
row_29	ATP6V1H	3676	0.05953586846590042	0.20855002	Yes	
row_30	MAPK1	3769	0.058149807155132294	0.21637109	Yes	
row_31	IGF2R	4047	0.05428416654467583	0.21875226	Yes	
row_32	GLA	4070	0.054009757936000824	0.22863168	Yes	
row_33	SOD1	4127	0.053259026259183884	0.2375113	Yes	
row_34	ARFGEF1	4862	0.044660504907369614	0.22645447	No	
row_35	DST	5484	0.03866534307599068	0.21872038	No	
row_36	TMX1	5808	0.0357724130153656	0.21974893	No	
row_37	TSG101	6004	0.034004274755716324	0.2245413	No	
row_38	LAMP2	6280	0.03148726001381874	0.22698128	No	
row_39	AP3S1	6460	0.030346866697072983	0.23224413	No	
row_40	ARFGEF2	6676	0.028697282075881958	0.2364484	No	
row_41	ARFGAP3	7269	0.02468845434486866	0.22956705	No	
row_42	BET1	7938	0.02080104500055313	0.22045094	No	
row_43	VAMP4	8180	0.01947738602757454	0.22389068	No	
row_44	ICA1	8731	0.016556166112422943	0.21824433	No	
row_45	SCAMP1	9064	0.015014349482953548	0.21900824	No	
row_46	M6PR	10292	0.01004281546920538	0.19345482	No	
row_47	GOLGA4	10333	0.009907380677759647	0.20280494	No	
row_48	COPB1	10389	0.009662101976573467	0.21171398	No	
row_49	RAB22A	12017	0.004594683181494474	0.17439862	No	
row_50	AP2B1	12496	0.003418057458475232	0.17086941	No	
