NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYC	151	0.3372010886669159	5.713739E-4	No	
row_1	CD44	1148	0.13207246363162994	-0.023780564	No	
row_2	YRDC	1668	0.10648700594902039	-0.034063365	No	
row_3	GADD45A	2192	0.08934024721384048	-0.04446415	No	
row_4	SGK1	2219	0.08866919577121735	-0.040205896	No	
row_5	ZBTB10	2452	0.08288657665252686	-0.042023618	No	
row_6	TSC22D1	3032	0.07069585472345352	-0.054076124	No	
row_7	KLF6	3210	0.06769677251577377	-0.054271623	No	
row_8	SPSB1	3385	0.06444769352674484	-0.054378632	No	
row_9	NFE2L2	4470	0.048949360847473145	-0.081326135	No	
row_10	TGIF1	4730	0.046107176691293716	-0.08394023	No	
row_11	TUBB2A	5025	0.0429760105907917	-0.08758664	No	
row_12	CCNL1	5134	0.041858430951833725	-0.08574698	No	
row_13	CCND1	5230	0.04090671241283417	-0.083523884	No	
row_14	FOSL1	6013	0.033910609781742096	-0.101563886	No	
row_15	BTG3	6068	0.033366866409778595	-0.09813149	No	
row_16	VEGFA	6396	0.03075215220451355	-0.10275125	No	
row_17	BIRC2	6537	0.02980920858681202	-0.10185543	No	
row_18	SLC2A3	6903	0.02718549780547619	-0.107595995	No	
row_19	KDM6B	7325	0.02432311326265335	-0.11498828	No	
row_20	NR4A3	7663	0.022326957434415817	-0.11990298	No	
row_21	SLC16A6	7894	0.021016867831349373	-0.12166172	No	
row_22	SAT1	8014	0.02036234550178051	-0.120146506	No	
row_23	MSC	9181	0.014471083879470825	-0.1495126	No	
row_24	IRS2	9553	0.012899105437099934	-0.15543014	No	
row_25	EFNA1	9759	0.012054604478180408	-0.1564515	No	
row_26	DNAJB4	9990	0.011122926138341427	-0.15821023	No	
row_27	RHOB	10459	0.009398059919476509	-0.16698879	No	
row_28	TNC	11220	0.0070019974373281	-0.18437989	No	
row_29	NR4A1	11472	0.006241347175091505	-0.18675803	No	
row_30	TNFSF9	11634	0.0057211825624108315	-0.1864816	No	
row_31	SERPINB2	11768	0.005317130126059055	-0.18537931	No	
row_32	TRIB1	11954	0.0048117870464921	-0.18581077	No	
row_33	TRIP10	13237	0.0020258589647710323	-0.21859829	No	
row_34	TIPARP	13940	0.0010154194897040725	-0.2342787	No	
row_35	BTG1	14085	8.307835669256747E-4	-0.23350085	No	
row_36	NFKB1	15692	-8.223667391575873E-4	-0.27584475	No	
row_37	NFIL3	16305	-0.0015744732227176428	-0.2888706	No	
row_38	F3	16733	-0.0021704307291656733	-0.29643986	No	
row_39	PER1	16834	-0.0023464083205908537	-0.29436424	No	
row_40	CXCL1	17013	-0.002647989895194769	-0.29458922	No	
row_41	PDE4B	17580	-0.00373810064047575	-0.3062583	No	
row_42	F2RL1	17607	-0.0038126411382108927	-0.30200005	No	
row_43	B4GALT5	17705	-0.004004365298897028	-0.29983595	No	
row_44	NFAT5	19043	-0.007097491528838873	-0.33424568	No	
row_45	DENND5A	19171	-0.007452644407749176	-0.33296645	No	
row_46	MXD1	19539	-0.00841396115720272	-0.33876598	No	
row_47	PNRC1	19830	-0.009171987883746624	-0.34229442	No	
row_48	HBEGF	19960	-0.00948383193463087	-0.34107417	No	
row_49	G0S2	20319	-0.010478873737156391	-0.34660825	No	
row_50	RIPK2	20397	-0.010673688724637032	-0.34385425	No	
row_51	AREG	20718	-0.011534509249031544	-0.34826756	No	
row_52	EDN1	21305	-0.013427586294710636	-0.36052653	No	
row_53	NAMPT	21441	-0.013835573568940163	-0.3594832	No	
row_54	SIK1	22062	-0.015943443402647972	-0.37274504	No	
row_55	DUSP4	22146	-0.0162876695394516	-0.370168	No	
row_56	CXCL6	22517	-0.017576009035110474	-0.37605602	No	
row_57	KLF10	22892	-0.018928058445453644	-0.38206205	No	
row_58	FOS	23624	-0.021783629432320595	-0.3985978	No	
row_59	CLCF1	23657	-0.021908095106482506	-0.39451653	No	
row_60	CD83	23912	-0.02298137918114662	-0.39698315	No	
row_61	HES1	23953	-0.023115193471312523	-0.3931378	No	
row_62	SLC2A6	24102	-0.023797648027539253	-0.39247796	No	
row_63	FOSB	24506	-0.02544602006673813	-0.39933932	No	
row_64	IL1A	24687	-0.026277028024196625	-0.3996233	Yes	
row_65	PHLDA2	24705	-0.026395248249173164	-0.3950996	Yes	
row_66	MAP2K3	24726	-0.02647976577281952	-0.39066437	Yes	
row_67	CEBPD	24737	-0.026527076959609985	-0.3859342	Yes	
row_68	BCL2A1	24841	-0.026986483484506607	-0.38394707	Yes	
row_69	PANX1	25098	-0.028238967061042786	-0.38647267	Yes	
row_70	PTGS2	25522	-0.030361728742718697	-0.39392394	Yes	
row_71	KLF4	25535	-0.030429499223828316	-0.38925275	Yes	
row_72	ETS2	25652	-0.030972756445407867	-0.38764906	Yes	
row_73	BHLHE40	25719	-0.03126268833875656	-0.3845706	Yes	
row_74	LAMB3	25834	-0.03188754990696907	-0.38290793	Yes	
row_75	IL18	25967	-0.03258989751338959	-0.38177615	Yes	
row_76	TNIP2	26215	-0.034079525619745255	-0.3840363	Yes	
row_77	CCL20	26873	-0.038236405700445175	-0.3983894	Yes	
row_78	IFNGR2	26885	-0.038306865841150284	-0.39368874	Yes	
row_79	IL1B	26959	-0.03875532001256943	-0.39081675	Yes	
row_80	FJX1	27089	-0.03964279964566231	-0.38959646	Yes	
row_81	RNF19B	27421	-0.04192875325679779	-0.3943342	Yes	
row_82	ATF3	27446	-0.04206051677465439	-0.39001697	Yes	
row_83	NINJ1	27467	-0.04221169650554657	-0.38558173	Yes	
row_84	LITAF	27567	-0.0431065633893013	-0.38347661	Yes	
row_85	RELA	27620	-0.0434049516916275	-0.37998524	Yes	
row_86	CXCL11	27622	-0.04341134801506996	-0.3749896	Yes	
row_87	DRAM1	27704	-0.043999891728162766	-0.37235358	Yes	
row_88	IL6ST	27940	-0.045730166137218475	-0.3742598	Yes	
row_89	NR4A2	27951	-0.04586942493915558	-0.3695296	Yes	
row_90	ATP2B1	28110	-0.04743955284357071	-0.3691647	Yes	
row_91	IL12B	28178	-0.04797736927866936	-0.36611575	Yes	
row_92	RCAN1	28312	-0.049150194972753525	-0.36501348	Yes	
row_93	PHLDA1	28408	-0.050147805362939835	-0.36279038	Yes	
row_94	CSF2	28508	-0.051027581095695496	-0.36068526	Yes	
row_95	ACKR3	28814	-0.05425476282835007	-0.36465612	Yes	
row_96	TNFAIP3	28816	-0.0543263740837574	-0.35966048	Yes	
row_97	CXCL2	29010	-0.05654309317469597	-0.3603279	Yes	
row_98	CXCL10	29220	-0.0590178519487381	-0.36146724	Yes	
row_99	EHD1	29295	-0.059837907552719116	-0.35862476	Yes	
row_100	EGR2	29369	-0.06087866798043251	-0.35575277	Yes	
row_101	CCRL2	29372	-0.06093675643205643	-0.35078663	Yes	
row_102	CDKN1A	29473	-0.06208600476384163	-0.348711	Yes	
row_103	FOSL2	30004	-0.06927963346242905	-0.35931826	Yes	
row_104	PDLIM5	30020	-0.0695386677980423	-0.35473555	Yes	
row_105	PPP1R15A	30040	-0.06981506198644638	-0.35027084	Yes	
row_106	MAP3K8	30121	-0.07103253155946732	-0.34760532	Yes	
row_107	TNFAIP6	30135	-0.07118744403123856	-0.34296364	Yes	
row_108	REL	30178	-0.07195671647787094	-0.33917728	Yes	
row_109	IER3	30404	-0.07593629509210587	-0.34078854	Yes	
row_110	INHBA	30409	-0.07601986080408096	-0.3358814	Yes	
row_111	LIF	30410	-0.07602714002132416	-0.33085626	Yes	
row_112	GADD45B	30607	-0.07988828420639038	-0.33161217	Yes	
row_113	SOCS3	30631	-0.08040499687194824	-0.32726544	Yes	
row_114	IL6	30642	-0.08060431480407715	-0.32253528	Yes	
row_115	BCL6	30673	-0.08129645138978958	-0.318395	Yes	
row_116	DUSP5	30717	-0.08212793618440628	-0.31463817	Yes	
row_117	EGR1	30846	-0.0855570062994957	-0.3133884	Yes	
row_118	JUN	30934	-0.08777555823326111	-0.31092933	Yes	
row_119	MAFF	30998	-0.0894634872674942	-0.30776238	Yes	
