NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLMN	257	0.2684817612171173	-0.0024775153	No	
row_1	F2	483	0.20277418196201324	-0.0040112725	No	
row_2	MRPL3	978	0.14382722973823547	-0.013478495	No	
row_3	NME1	1185	0.12962864339351654	-0.014451896	No	
row_4	RPL9	1304	0.12294361740350723	-0.012829963	No	
row_5	UBE2N	1305	0.12280039489269257	-0.007727922	No	
row_6	RPL39	1357	0.12009438872337341	-0.0041299956	No	
row_7	RPS3A	1922	0.0973564088344574	-0.015661689	No	
row_8	IKBKB	1993	0.09510596096515656	-0.0126241185	No	
row_9	ABCE1	2167	0.09004565328359604	-0.012624269	No	
row_10	GALNT1	2206	0.08905915170907974	-0.008642941	No	
row_11	MTIF2	2529	0.08072533458471298	-0.013037465	No	
row_12	IL16	2669	0.07779043167829514	-0.012034873	No	
row_13	DEGS1	2923	0.07270758599042892	-0.014394418	No	
row_14	EIF4G3	3239	0.06707048416137695	-0.018582495	No	
row_15	EIF3J	3306	0.06609289348125458	-0.015426954	No	
row_16	NPM1	3320	0.06589820981025696	-0.010708315	No	
row_17	TPD52	3521	0.06201306730508804	-0.011504762	No	
row_18	BCL10	3575	0.061130132526159286	-0.00796582	No	
row_19	MAP3K7	4139	0.053133152425289154	-0.01946802	No	
row_20	EIF3A	4209	0.05224812030792236	-0.016400957	No	
row_21	ACVR2A	4406	0.04973410815000534	-0.017079435	No	
row_22	UBE2D1	4890	0.04436994343996048	-0.02622224	No	
row_23	IGSF6	5478	0.038758184760808945	-0.03843226	No	
row_24	EIF5A	5757	0.03623844310641289	-0.041529115	No	
row_25	IRF4	6349	0.03105548955500126	-0.053857107	No	
row_26	BRCA1	7081	0.026049673557281494	-0.070314035	No	
row_27	ABI1	7710	0.022034164518117905	-0.083733246	No	
row_28	RPS19	9998	0.011102666147053242	-0.1460804	No	
row_29	MBL2	10962	0.007702493108808994	-0.16937958	No	
row_30	NCK1	11548	0.006013639736920595	-0.18153061	No	
row_31	RPS9	11850	0.005083783995360136	-0.18530579	No	
row_32	IL9	12091	0.004425166640430689	-0.18728194	No	
row_33	RPL3L	12546	0.0033182224724441767	-0.19556947	No	
row_34	IL4	12892	0.0026547436136752367	-0.20064232	No	
row_35	PF4	13290	0.0019476200686767697	-0.20724878	No	
row_36	IFNGR1	13508	0.001582218916155398	-0.2085466	No	
row_37	ELANE	13891	0.0010725127067416906	-0.21471065	No	
row_38	CARTPT	13892	0.0010721381986513734	-0.20960861	No	
row_39	FLNA	14000	9.270482114516199E-4	-0.20766227	No	
row_40	EIF3D	15288	-4.043725784868002E-4	-0.24051699	No	
row_41	DYRK3	16919	-0.0024860689882189035	-0.28348762	No	
row_42	NOS2	17578	-0.003730055643245578	-0.2977916	No	
row_43	IL13	17973	-0.00457250140607357	-0.30430958	No	
row_44	IL2	18138	-0.0048934826627373695	-0.3040443	No	
row_45	CCL11	19936	-0.00940630305558443	-0.35194016	No	
row_46	RIPK2	20397	-0.010673688724637032	-0.36040464	No	
row_47	CAPG	21963	-0.015566565096378326	-0.40145826	No	
row_48	IL12A	22559	-0.017701299861073494	-0.41390422	No	
row_49	EGFR	22578	-0.017748994752764702	-0.40933305	No	
row_50	CCL7	22879	-0.01887846738100052	-0.41307873	No	
row_51	CCL22	22929	-0.019084330648183823	-0.40942183	No	
row_52	PRKCG	23216	-0.020181171596050262	-0.41275463	No	
row_53	CDKN2A	23344	-0.020744863897562027	-0.4113981	No	
row_54	AKT1	24685	-0.0262671560049057	-0.44581595	No	
row_55	ETS1	25697	-0.031153716146945953	-0.47053075	No	
row_56	IL18	25967	-0.03258989751338959	-0.47336218	No	
row_57	HLA-G	26880	-0.03829241171479225	-0.49515724	No	
row_58	IFNGR2	26885	-0.038306865841150284	-0.49017316	No	
row_59	IL1B	26959	-0.03875532001256943	-0.48722407	No	
row_60	IL11	26994	-0.03896883875131607	-0.4831248	No	
row_61	KRT1	27370	-0.04155941307544708	-0.4890824	No	
row_62	IL27RA	27433	-0.04202695190906525	-0.48580888	No	
row_63	CCND3	27691	-0.0439322367310524	-0.4882864	No	
