NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTK2	1166	0.1310194432735443	-0.0064488924	No	
row_1	ITGAV	3021	0.07094116508960724	-0.03309328	No	
row_2	PGLYRP1	5710	0.03664643317461014	-0.08421884	No	
row_3	VEGFA	6396	0.03075215220451355	-0.076548494	No	
row_4	PF4	13290	0.0019476200686767697	-0.25110728	No	
row_5	APOH	17807	-0.004245544783771038	-0.35589182	No	
row_6	MSX1	19397	-0.008054251782596111	-0.3747574	No	
row_7	CXCL6	22517	-0.017576009035110474	-0.4385345	No	
row_8	LRPAP1	24260	-0.024449951946735382	-0.46189126	Yes	
row_9	PRG2	24546	-0.02561119571328163	-0.44247934	Yes	
row_10	JAG2	24781	-0.026724474504590034	-0.4215704	Yes	
row_11	LPL	26487	-0.03577013686299324	-0.44384104	Yes	
row_12	SPP1	27554	-0.04301406443119049	-0.44735456	Yes	
row_13	VAV2	28437	-0.05042177438735962	-0.44546694	Yes	
row_14	THBD	29066	-0.05713672190904617	-0.4361234	Yes	
row_15	PDGFA	29885	-0.06753517687320709	-0.43235713	Yes	
row_16	VTN	29935	-0.06824982911348343	-0.4060177	Yes	
row_17	STC1	30565	-0.07889536023139954	-0.39670354	Yes	
row_18	FGFR1	30759	-0.08305413275957108	-0.37459105	Yes	
row_19	S100A4	30855	-0.08583370596170425	-0.3496019	Yes	
row_20	POSTN	31709	-0.11573774367570877	-0.34686303	Yes	
row_21	JAG1	31786	-0.11955513805150986	-0.32131615	Yes	
row_22	OLR1	31941	-0.12809284031391144	-0.29805887	Yes	
row_23	APP	32183	-0.14925308525562286	-0.27735537	Yes	
row_24	VCAN	32271	-0.1573466658592224	-0.2521314	Yes	
row_25	FSTL1	32353	-0.16763022541999817	-0.22673129	Yes	
row_26	COL3A1	32711	-0.24588719010353088	-0.20943286	Yes	
row_27	CCND2	32734	-0.24945811927318573	-0.18230087	Yes	
row_28	TIMP1	32837	-0.28623709082603455	-0.1575172	Yes	
row_29	KCNJ8	33056	-0.38054364919662476	-0.13613856	Yes	
row_30	NRP1	33110	-0.4094699025154114	-0.109916545	Yes	
row_31	SLCO2A1	33190	-0.44709843397140503	-0.084457725	Yes	
row_32	LUM	33238	-0.4676031768321991	-0.058059584	Yes	
row_33	COL5A2	33242	-0.4697181284427643	-0.030369867	Yes	
row_34	TNFRSF21	33434	-0.5684610605239868	-0.008198688	Yes	
row_35	SERPINA5	34014	-1.1338045597076416	0.002583171	Yes	
