NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH3	33	0.7069671750068665	0.004051789	No	
row_1	GNAI1	208	0.2918586730957031	0.003944777	No	
row_2	PIK3CB	676	0.17182159423828125	-0.004804283	No	
row_3	IRS1	814	0.15958724915981293	-0.0038199786	No	
row_4	PTK2	1166	0.1310194432735443	-0.009147613	No	
row_5	CTNND1	1218	0.1279153823852539	-0.0056267353	No	
row_6	NF1	2118	0.09165079891681671	-0.027117655	No	
row_7	CDK8	2232	0.08831299841403961	-0.02542547	No	
row_8	ADAM23	2497	0.08170226216316223	-0.028187035	No	
row_9	HADH	2534	0.08067157119512558	-0.02422373	No	
row_10	EXOC4	2650	0.07802864909172058	-0.022590535	No	
row_11	TJP1	2691	0.07729756832122803	-0.018745212	No	
row_12	PARVA	3059	0.07021751999855042	-0.024544766	No	
row_13	PARD6G	3114	0.06942267715930939	-0.021112373	No	
row_14	BAIAP2	3261	0.06668547540903091	-0.020393524	No	
row_15	LIMA1	3715	0.05905001237988472	-0.028729655	No	
row_16	DLG1	3919	0.05607666075229645	-0.029692022	No	
row_17	HRAS	4307	0.05118060111999512	-0.036081478	No	
row_18	DHX16	4351	0.050622329115867615	-0.032324642	No	
row_19	ADAM9	4485	0.0487910620868206	-0.031222356	No	
row_20	MVD	4616	0.047220490872859955	-0.030031586	No	
row_21	CD99	4805	0.04529910907149315	-0.030551529	No	
row_22	TSPAN4	4853	0.044793032109737396	-0.02691267	No	
row_23	SLC30A3	4991	0.04330724477767944	-0.025928365	No	
row_24	CRAT	5096	0.042256616055965424	-0.023970725	No	
row_25	ALOX15B	5181	0.04136766493320465	-0.021423183	No	
row_26	TRO	5305	0.04035256803035736	-0.020025948	No	
row_27	MAPK14	5814	0.03570748493075371	-0.029984305	No	
row_28	TSC1	6106	0.033126864582300186	-0.03354224	No	
row_29	CALB2	6169	0.032493699342012405	-0.030345803	No	
row_30	SHROOM2	6235	0.03188279643654823	-0.027237857	No	
row_31	MYH10	6255	0.03169778734445572	-0.022773135	No	
row_32	BMP1	6323	0.031208792701363564	-0.019724179	No	
row_33	LAMC2	6427	0.030613048002123833	-0.017737042	No	
row_34	NRXN2	6479	0.030206695199012756	-0.014216164	No	
row_35	PTEN	6562	0.02958187647163868	-0.0116096325	No	
row_36	ACTN3	6634	0.02905445359647274	-0.008678655	No	
row_37	ARPC2	6679	0.02868478372693062	-0.0049513113	No	
row_38	SIRPA	6912	0.02712426334619522	-0.006769036	No	
row_39	WASL	7012	0.026516856625676155	-0.00466392	No	
row_40	ICAM5	7027	0.026385890319943428	-5.17249E-5	No	
row_41	CERCAM	7070	0.02610669657588005	0.0037346089	No	
row_42	RASA1	7163	0.02553241141140461	0.0060461904	No	
row_43	CNTN1	7844	0.02130260318517685	-0.0089853145	No	
