NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLPPR4	13	1.4056950807571411	0.005867005	No	
row_1	CTH	54	0.5215688347816467	0.010938559	No	
row_2	DFFA	230	0.27987173199653625	0.012032856	No	
row_3	PSEN2	480	0.20325349271297455	0.010947029	No	
row_4	F2	483	0.20277418196201324	0.017138107	No	
row_5	RETSAT	509	0.19814471900463104	0.022651577	No	
row_6	PPP2R5B	534	0.19285160303115845	0.02819451	No	
row_7	DNM1L	660	0.17351962625980377	0.030761866	No	
row_8	BCL2L2	1057	0.13848772644996643	0.025345247	No	
row_9	CD44	1148	0.13207246363162994	0.028943744	No	
row_10	PTK2	1166	0.1310194432735443	0.034692906	No	
row_11	ENO2	1269	0.12453648447990417	0.037937865	No	
row_12	DIABLO	1324	0.12152551114559174	0.042596962	No	
row_13	FDXR	1927	0.09723582118749619	0.031111348	No	
row_14	ERBB3	2062	0.09313485026359558	0.03341355	No	
row_15	WEE1	2103	0.09220007061958313	0.038485106	No	
row_16	GADD45A	2192	0.08934024721384048	0.042142525	No	
row_17	TSPO	2300	0.08636906743049622	0.045240182	No	
row_18	CAV1	3176	0.0683230385184288	0.02571167	No	
row_19	RHOT2	3535	0.061840806156396866	0.021414576	No	
row_20	BCL10	3575	0.061130132526159286	0.026515592	No	
row_21	IGF2R	4047	0.05428416654467583	0.018889386	No	
row_22	SOD1	4127	0.053259026259183884	0.022811955	No	
row_23	XIAP	4297	0.05128877982497215	0.02408302	No	
row_24	TOP2A	4727	0.046110305935144424	0.017694185	No	
row_25	TGFBR3	4791	0.04550737515091896	0.022088131	No	
row_26	LEF1	4792	0.04550134018063545	0.02833813	No	
row_27	MADD	4829	0.04503464326262474	0.03352753	No	
row_28	EMP1	5132	0.04188327491283417	0.030880261	No	
row_29	CCND1	5230	0.04090671241283417	0.03427253	No	
row_30	BIK	5273	0.04062056168913841	0.03928516	No	
row_31	GSR	5310	0.0403129979968071	0.044474557	No	
row_32	CASP9	5635	0.03720548376441002	0.041179143	No	
row_33	GPX3	5935	0.03475220128893852	0.03862026	No	
row_34	BTG3	6068	0.033366866409778595	0.040981386	No	
row_35	LMNA	6504	0.030038099735975266	0.03441578	No	
row_36	BNIP3L	6715	0.02843172661960125	0.03447894	No	
row_37	EBP	6809	0.027835963293910027	0.037989054	No	
row_38	SC5D	7041	0.026228010654449463	0.037433527	No	
row_39	BRCA1	7081	0.026049673557281494	0.04253454	No	
row_40	CDK2	7731	0.02188386395573616	0.02966425	No	
row_41	CASP2	7806	0.021548934280872345	0.033734124	No	
row_42	MGMT	7916	0.020895130932331085	0.03677286	No	
row_43	SAT1	8014	0.02036234550178051	0.040165126	No	
row_44	HSPB1	8493	0.017842594534158707	0.032332692	No	
row_45	ADD1	8548	0.017501797527074814	0.03699179	No	
row_46	VDAC2	8624	0.01711154915392399	0.041032206	No	
row_47	LGALS3	9028	0.015162886120378971	0.035409357	No	
row_48	HMGB2	9209	0.014340732246637344	0.036356352	No	
row_49	RHOB	10459	0.009398059919476509	0.0058093667	No	
row_50	DAP3	10875	0.008011745288968086	-1.6701299E-4	No	
row_51	TNFRSF12A	10973	0.0076678735204041	0.0032252548	No	
row_52	CCNA1	11696	0.005559114273637533	-0.0117957	No	
row_53	NEFH	13254	0.0019978664349764585	-0.05141672	No	
row_54	IFNGR1	13508	0.001582218916155398	-0.052620392	No	
row_55	GSTM1	13684	0.0013491295976564288	-0.051526096	No	
row_56	CASP1	17858	-0.004346226807683706	-0.1682175	No	
