NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EFHC1	240	0.27450796961784363	0.0018678792	Yes	
row_1	ABCD3	328	0.24310536682605743	0.00823695	Yes	
row_2	GNPAT	508	0.19815874099731445	0.011899422	Yes	
row_3	RETSAT	509	0.19814471900463104	0.020827994	Yes	
row_4	PEX13	554	0.18953482806682587	0.028462104	Yes	
row_5	ABCA5	673	0.17221002280712128	0.03391917	Yes	
row_6	PEX1	778	0.1624733954668045	0.03978811	Yes	
row_7	CROT	781	0.16237138211727142	0.048657842	Yes	
row_8	PECR	782	0.16235853731632233	0.057586413	Yes	
row_9	CYP39A1	970	0.14451353251934052	0.061013527	Yes	
row_10	NUDT12	1184	0.12970125675201416	0.06367574	Yes	
row_11	PEX7	1271	0.12427714467048645	0.07007422	Yes	
row_12	PFKM	1316	0.12222999334335327	0.077708334	Yes	
row_13	SLC29A1	1526	0.11193350702524185	0.08048822	Yes	
row_14	SLC27A5	1605	0.10903631150722504	0.08712207	Yes	
row_15	PEX11A	1742	0.10343852639198303	0.092049584	Yes	
row_16	LONP2	1756	0.10275720059871674	0.1005957	Yes	
row_17	LIPE	1856	0.09971646219491959	0.106611736	Yes	
row_18	SCP2	1888	0.09851580113172531	0.1146283	Yes	
row_19	FDXR	1927	0.09723582118749619	0.12243893	Yes	
row_20	PEX12	2933	0.07246562838554382	0.10180085	Yes	
row_21	HSD17B11	3786	0.05792482942342758	0.08566397	Yes	
row_22	MLYCD	3815	0.0574478805065155	0.09376879	Yes	
row_23	SOD1	4127	0.053259026259183884	0.09354788	Yes	
row_24	FADS1	4180	0.05252591520547867	0.100946635	Yes	
row_25	CYP7A1	4337	0.05087675154209137	0.10528576	Yes	
row_26	ABCD1	4554	0.04790651425719261	0.10785971	Yes	
row_27	PXMP2	4852	0.04480144754052162	0.108050674	Yes	
row_28	ACSL1	4897	0.0442894883453846	0.115684785	Yes	
row_29	ABCG8	4919	0.044055357575416565	0.12399554	Yes	
row_30	SLC23A2	5123	0.041930753737688065	0.12695195	Yes	
row_31	SULT1B1	5364	0.03982481360435486	0.12881982	Yes	
row_32	AQP9	5885	0.0351514033973217	0.12245023	Yes	
row_33	ALDH8A1	5891	0.035104092210531235	0.13123171	Yes	
row_34	PEX19	5929	0.03478047996759415	0.13907175	Yes	
row_35	NR0B2	6179	0.032429035753011703	0.14067486	Yes	
row_36	PNPLA8	6221	0.032053910195827484	0.14839722	Yes	
row_37	GCLM	6410	0.03069455176591873	0.15179493	Yes	
row_38	ISOC1	6666	0.028732294216752052	0.1532215	Yes	
row_39	FADS2	7293	0.024529578164219856	0.14373344	No	
row_40	IDH1	8048	0.020181965082883835	0.13047966	No	
row_41	HSD17B4	8279	0.018872952088713646	0.13264175	No	
row_42	IDI1	8312	0.01870979554951191	0.14062889	No	
row_43	SLC27A2	8686	0.01682017557322979	0.13858397	No	
row_44	BBOX1	9760	0.012053627520799637	0.11594536	No	
row_45	GNMT	10482	0.0093120988458395	0.10366244	No	
row_46	SOAT2	10650	0.008695452474057674	0.107677944	No	
row_47	DIO1	10886	0.007953879423439503	0.109692916	No	
row_48	GC	10904	0.007899529300630093	0.118121356	No	
row_49	HSD3B1	11630	0.005733853206038475	0.10572075	No	
row_50	SLC23A1	13989	9.398392867296934E-4	0.04527802	No	
row_51	SLCO1A2	14792	8.796998008619994E-5	0.030612113	No	
row_52	HAO1	15088	-2.0073605992365628E-4	0.030861916	No	
row_53	SERPINA6	16283	-0.0015409954357892275	0.0046635424	No	
row_54	ABCG4	17645	-0.003889639861881733	-0.026447896	No	
row_55	PRDX5	17741	-0.004093513824045658	-0.020314183	No	
row_56	AGXT	17908	-0.004423997364938259	-0.016269255	No	
row_57	PEX11G	18608	-0.006037648301571608	-0.027904952	No	
row_58	ABCA4	18877	-0.0067052049562335014	-0.02686082	No	
row_59	PEX16	19369	-0.008004547096788883	-0.032377247	No	
row_60	DHCR24	20091	-0.009873227216303349	-0.044660173	No	
row_61	BCAR3	21078	-0.012730215676128864	-0.06473928	No	
row_62	ABCA9	21104	-0.012779878452420235	-0.056546196	No	
row_63	SULT2B1	21241	-0.013217299245297909	-0.051618684	No	
row_64	RBP1	21300	-0.013417845591902733	-0.044396445	No	
row_65	TFCP2L1	21479	-0.013957174494862556	-0.040704556	No	
row_66	AR	21861	-0.01524775754660368	-0.042984832	No	
row_67	NR1H4	22093	-0.01606212742626667	-0.040852178	No	
row_68	PEX6	22167	-0.0163437370210886	-0.034071233	No	
row_69	HSD3B7	22509	-0.01756291836500168	-0.035174727	No	
row_70	HACL1	22716	-0.018261754885315895	-0.032306585	No	
row_71	CAT	23055	-0.019605493173003197	-0.03332182	No	
row_72	KLF1	23073	-0.019668154418468475	-0.024893383	No	
row_73	RXRG	23346	-0.020747605711221695	-0.023966929	No	
row_74	CYP8B1	23660	-0.021916626021265984	-0.024246678	No	
row_75	SLC35B2	23694	-0.02205948904156685	-0.016288951	No	
row_76	ABCA8	24465	-0.025285741314291954	-0.030013435	No	
row_77	ABCA6	24476	-0.02532569319009781	-0.021379057	No	
row_78	PEX26	24521	-0.025508195161819458	-0.013744946	No	
row_79	NR3C2	24800	-0.026801280677318573	-0.01299501	No	
row_80	TTR	24891	-0.02726997248828411	-0.006714198	No	
row_81	PAOX	24907	-0.027354875579476357	0.0017730808	No	
row_82	NEDD4	24924	-0.027421945706009865	0.01023094	No	
row_83	PHYH	25294	-0.029181571677327156	0.008303697	No	
row_84	NR1I2	25708	-0.031205523759126663	0.0050819935	No	
row_85	ABCA3	25827	-0.03185388445854187	0.010539058	No	
row_86	CYP27A1	26362	-0.034983135759830475	0.0037575888	No	
row_87	OPTN	26413	-0.035284485667943954	0.011215183	No	
row_88	AKR1D1	26642	-0.03675105422735214	0.013436097	No	
row_89	GSTK1	27069	-0.039565980434417725	0.00983194	No	
row_90	APOA1	28028	-0.04662012681365013	-0.00942342	No	
row_91	NPC1	28337	-0.049382928758859634	-0.00955607	No	
row_92	HSD17B6	29059	-0.05709754675626755	-0.021838997	No	
row_93	ATXN1	29096	-0.05750491842627525	-0.013969528	No	
row_94	RXRA	29600	-0.06380612403154373	-0.01983899	No	
row_95	EPHX2	29812	-0.06667130440473557	-0.017117945	No	
row_96	DIO2	29864	-0.0672447457909584	-0.00968977	No	
row_97	ALDH9A1	29877	-0.0674104318022728	-0.0011142328	No	
