NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNAI1	208	0.2918586730957031	0.0075863763	Yes	
row_1	CPEB2	248	0.2710361182689667	0.020138958	Yes	
row_2	FDFT1	506	0.19861209392547607	0.026285429	Yes	
row_3	ATXN2	1094	0.13583366572856903	0.022734573	Yes	
row_4	CYP51A1	1429	0.11633078008890152	0.026618334	Yes	
row_5	TMEM97	1503	0.11287681758403778	0.038171798	Yes	
row_6	MVK	1716	0.10459062457084656	0.045640633	Yes	
row_7	ACAT2	2676	0.07758589833974838	0.031158244	Yes	
row_8	FDPS	3189	0.06805253028869629	0.029811326	Yes	
row_9	GSTM2	3328	0.06562966108322144	0.039454713	Yes	
row_10	ACSS2	3863	0.056822557002305984	0.037461307	Yes	
row_11	ADH4	4543	0.0480380654335022	0.031206952	Yes	
row_12	MVD	4616	0.047220490872859955	0.042789802	Yes	
row_13	HMGCR	4732	0.046088628470897675	0.05310906	Yes	
row_14	NSDHL	5039	0.04281627759337425	0.057815626	Yes	
row_15	CHKA	5312	0.040287408977746964	0.06352131	Yes	
row_16	HMGCS1	5559	0.037898316979408264	0.06999102	Yes	
row_17	TM7SF2	5759	0.03622256964445114	0.07784187	Yes	
row_18	CD9	6273	0.031538721174001694	0.07646557	Yes	
row_19	EBP	6809	0.027835963293910027	0.074442774	Yes	
row_20	SC5D	7041	0.026228010654449463	0.08135328	Yes	
row_21	PMVK	7052	0.02620004117488861	0.09475805	Yes	
row_22	FADS2	7293	0.024529578164219856	0.10140408	Yes	
row_23	HSD17B7	7564	0.022942353039979935	0.10716853	Yes	
row_24	IDI1	8312	0.01870979554951191	0.09891594	Yes	
row_25	SQLE	8492	0.017851652577519417	0.10735451	Yes	
row_26	PCYT2	8512	0.01771504618227482	0.12049481	Yes	
row_27	FASN	8670	0.016898764297366142	0.12957986	Yes	
row_28	LGALS3	9028	0.015162886120378971	0.13278775	Yes	
row_29	CBS	10478	0.00932231079787016	0.1039063	No	
row_30	TNFRSF12A	10973	0.0076678735204041	0.103088334	No	
row_31	ACTG1	13510	0.0015780712710693479	0.042264484	No	
row_32	ANXA5	14144	7.538244244642556E-4	0.03736188	No	
row_33	FABP5	15403	-5.159855354577303E-4	0.014093127	No	
row_34	NFIL3	16305	-0.0015744732227176428	0.0013151192	No	
row_35	GUSB	18362	-0.005406712181866169	-0.04540353	No	
row_36	SEMA3B	19330	-0.007872137241065502	-0.060121004	No	
row_37	MAL2	19381	-0.00802780780941248	-0.047891665	No	
row_38	PNRC1	19830	-0.009171987883746624	-0.047357887	No	
row_39	LSS	20729	-0.011555052362382412	-0.06004774	No	
row_40	GLDC	20942	-0.012286609038710594	-0.052578904	No	
row_41	ALDOC	21412	-0.013735590502619743	-0.05266223	No	
row_42	SCD	21622	-0.014420307241380215	-0.04510524	No	
row_43	S100A11	22237	-0.016584696248173714	-0.049449515	No	
row_44	SREBF2	23895	-0.022918106988072395	-0.08444321	No	
row_45	ETHE1	24355	-0.0248002540320158	-0.08423268	No	
row_46	DHCR7	24866	-0.02709922567009926	-0.08552083	No	
row_47	PPARG	25379	-0.029623661190271378	-0.08686775	No	
row_48	LPL	26487	-0.03577013686299324	-0.10569923	No	
row_49	TRIB3	27224	-0.04044710844755173	-0.11362858	No	
row_50	ATF3	27446	-0.04206051677465439	-0.10642422	No	
row_51	PDK3	27638	-0.043481409549713135	-0.09833828	No	
row_52	CTNNB1	28209	-0.048283495008945465	-0.10138958	No	
row_53	ERRFI1	28503	-0.05099036172032356	-0.096301004	No	
row_54	GPX8	29264	-0.05950035899877548	-0.10493561	No	
row_55	CLU	29688	-0.06476695090532303	-0.103667185	No	
row_56	FBXO6	30276	-0.07377773523330688	-0.10721804	No	
row_57	ABCA2	30660	-0.0810331404209137	-0.104774185	No	
row_58	ECH1	30730	-0.08238118886947632	-0.09310318	No	
row_59	ATF5	30756	-0.08297941088676453	-0.0801392	No	
row_60	PLAUR	31017	-0.08994261920452118	-0.074080884	No	
row_61	PLSCR1	31252	-0.09701541811227798	-0.06725854	No	
row_62	TP53INP1	31593	-0.10988538712263107	-0.06355109	No	
row_63	JAG1	31786	-0.11955513805150986	-0.055494543	No	
row_64	ANXA13	31847	-0.12290067225694656	-0.043559063	No	
row_65	STX5	31903	-0.12576840817928314	-0.031476654	No	
row_66	LDLR	32173	-0.14787690341472626	-0.025682813	No	
row_67	ALCAM	32285	-0.15893590450286865	-0.015246011	No	
row_68	LGMN	32628	-0.21982929110527039	-0.011597336	No	
row_69	CXCL16	32890	-0.30950799584388733	-0.00556841	No	
row_70	AVPR1A	32997	-0.35435178875923157	0.0050153215	No	
row_71	ANTXR2	33018	-0.3643456697463989	0.018126234	No	
row_72	STARD4	33294	-0.49669817090034485	0.02374376	No	
