NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F2	483	0.20277418196201324	-0.009246527	No	
row_1	PRDM4	827	0.15768718719482422	-0.014363626	No	
row_2	CPQ	1076	0.13732337951660156	-0.016678613	No	
row_3	KCNIP3	1156	0.1314259022474289	-0.014008791	No	
row_4	PIK3CA	1913	0.09764395654201508	-0.031307705	No	
row_5	GPD2	2469	0.0825226679444313	-0.042677935	No	
row_6	GNAI3	2742	0.07641474902629852	-0.045700826	No	
row_7	CDK5R1	3301	0.06614948064088821	-0.057159547	No	
row_8	CTSV	3310	0.06603604555130005	-0.052395515	No	
row_9	SERPINC1	3355	0.06504850089550018	-0.048693333	No	
row_10	PPP2CB	3563	0.06128338724374771	-0.049798988	No	
row_11	USP14	3694	0.05926031619310379	-0.048633456	No	
row_12	DOCK9	3812	0.05752227455377579	-0.04708448	No	
row_13	CD46	3941	0.05566824972629547	-0.04585996	No	
row_14	HSPA1A	4325	0.05100654810667038	-0.05215689	No	
row_15	ADAM9	4485	0.0487910620868206	-0.051846743	No	
row_16	CTSB	4563	0.04777270928025246	-0.04911793	No	
row_17	MMP8	4677	0.04669403284788132	-0.047450967	No	
row_18	RABIF	4907	0.04423002898693085	-0.049205534	No	
row_19	GNB4	4923	0.04402153566479683	-0.044647973	No	
row_20	RCE1	5369	0.03977778181433678	-0.052773654	No	
row_21	HNF4A	5488	0.0386076420545578	-0.051254172	No	
row_22	GMFB	5548	0.03805883601307869	-0.04799443	No	
row_23	CASP9	5635	0.03720548376441002	-0.04553108	No	
row_24	XPNPEP1	5742	0.03637417033314705	-0.043657646	No	
row_25	F7	6105	0.03312844783067703	-0.04933517	No	
row_26	LAMP2	6280	0.03148726001381874	-0.04946746	No	
row_27	FDX1	6689	0.028620384633541107	-0.05650179	No	
row_28	PLA2G7	6786	0.02798195369541645	-0.0543334	No	
row_29	USP8	7641	0.022478951141238213	-0.07452291	No	
row_30	KCNIP2	7757	0.0217313040047884	-0.07291494	No	
row_31	MMP13	8047	0.02018331177532673	-0.07643926	No	
row_32	LGALS3	9028	0.015162886120378971	-0.10034526	No	
row_33	PLA2G4A	9356	0.013691636733710766	-0.10499042	No	
row_34	PREP	10074	0.010779201984405518	-0.121139	No	
row_35	LTA4H	11168	0.007134431041777134	-0.14837803	No	
row_36	GP1BA	11173	0.007123688235878944	-0.14349602	No	
row_37	BRPF3	11638	0.005714471451938152	-0.15218212	No	
row_38	LIPA	11719	0.005496577825397253	-0.1495418	No	
row_39	SERPINB2	11768	0.005317130126059055	-0.1459576	No	
row_40	USP16	12093	0.0044231116771698	-0.15051427	No	
row_41	S100A13	12121	0.0043596187606453896	-0.14631066	No	
row_42	DGKH	12220	0.004085748456418514	-0.14420126	No	
row_43	CD55	12445	0.003556529525667429	-0.14580835	No	
row_44	ACTN2	12663	0.0031052855774760246	-0.14720896	No	
row_45	RNF4	12866	0.0027056080289185047	-0.14816713	No	
row_46	APOA4	13058	0.0023364073131233454	-0.14880085	No	
row_47	CBLB	13235	0.002029747935011983	-0.14899214	No	
row_48	CD36	13281	0.001961618196219206	-0.14531946	No	
row_49	S100A12	13351	0.0018521719612181187	-0.14235467	No	
row_50	CTSH	13413	0.001728247501887381	-0.13915393	No	
row_51	PPP4C	13452	0.0016847294755280018	-0.13527477	No	
row_52	ANXA5	14144	7.538244244642556E-4	-0.15065645	No	
row_53	KLKB1	14383	4.997409414499998E-4	-0.15267648	No	
row_54	ADRA2B	15300	-4.1554373456165195E-4	-0.17469473	No	
row_55	MSRB1	15751	-8.898497908376157E-4	-0.1829679	No	
row_56	F3	16733	-0.0021704307291656733	-0.20690338	No	
row_57	GP9	16836	-0.0023501955438405275	-0.20491198	No	
row_58	CXCL1	17013	-0.002647989895194769	-0.20510325	No	
