NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GTF2H1	285	0.2569672167301178	-0.0016822995	Yes	
row_1	DDB1	348	0.23803851008415222	0.00320311	Yes	
row_2	GTF2H3	385	0.22874444723129272	0.008854262	Yes	
row_3	SRSF6	411	0.22086603939533234	0.01482938	Yes	
row_4	RFC5	427	0.21528789401054382	0.021099016	Yes	
row_5	RAD52	491	0.20171226561069489	0.025954975	Yes	
row_6	POLB	527	0.1944619119167328	0.03163558	Yes	
row_7	POLA1	647	0.17545637488365173	0.034842245	Yes	
row_8	UMPS	649	0.17531365156173706	0.0415242	Yes	
row_9	ELOA	688	0.17063036561012268	0.04711645	Yes	
row_10	ITPA	736	0.16637656092643738	0.052443635	Yes	
row_11	RNMT	838	0.15684330463409424	0.056180432	Yes	
row_12	UPF3B	901	0.15073315799236298	0.06106584	Yes	
row_13	POLR1C	959	0.14541196823120117	0.06609851	Yes	
row_14	TYMS	982	0.14360417425632477	0.07216198	Yes	
row_15	STX3	1151	0.13184484839439392	0.073925525	Yes	
row_16	NME1	1185	0.12962864339351654	0.07966503	Yes	
row_17	DUT	1320	0.12191314250230789	0.08242992	Yes	
row_18	POLR1D	1327	0.12129213660955429	0.08896462	Yes	
row_19	POLH	1330	0.12118613719940186	0.09561713	Yes	
row_20	GTF2H5	1464	0.11449597030878067	0.09841147	Yes	
row_21	POLR2H	1491	0.11327467113733292	0.10435714	Yes	
row_22	SF3A3	1598	0.10928995162248611	0.10794668	Yes	
row_23	NT5C	1791	0.10180433094501495	0.10900338	Yes	
row_24	SDCBP	1836	0.10025769472122192	0.11441892	Yes	
row_25	RAD51	1871	0.09922008961439133	0.120128974	Yes	
row_26	TARBP2	1965	0.0959549993276596	0.124101385	Yes	
row_27	SAC3D1	1968	0.0958729237318039	0.13075389	Yes	
row_28	AGO4	2036	0.09384828805923462	0.13549204	Yes	
row_29	ERCC8	2038	0.0937449187040329	0.14217399	Yes	
row_30	AAAS	2130	0.09113143384456635	0.1462053	Yes	
row_31	NELFCD	2145	0.09067282825708389	0.1525044	Yes	
row_32	SSRP1	2365	0.08491484075784683	0.1527659	Yes	
row_33	POLA2	2372	0.08461621403694153	0.15930061	Yes	
row_34	RFC3	2391	0.0842001885175705	0.16548188	Yes	
row_35	TMED2	2659	0.07792975008487701	0.16432971	Yes	
row_36	DDB2	3004	0.07119162380695343	0.16090977	Yes	
row_37	DGCR8	3089	0.0698457732796669	0.16514724	Yes	
row_38	RFC4	3093	0.06980347633361816	0.1717703	Yes	
row_39	IMPDH2	3229	0.06723107397556305	0.17450574	Yes	
row_40	ZWINT	3498	0.062419064342975616	0.17332412	Yes	
row_41	RFC2	3645	0.06007334589958191	0.1757356	Yes	
row_42	PCNA	3867	0.05679205805063248	0.17593819	Yes	
row_43	BRF2	3903	0.056218236684799194	0.1816188	Yes	
row_44	TAF6	3918	0.05608116462826729	0.18791789	Yes	
row_45	RBX1	4318	0.05108804255723953	0.1828781	Yes	
row_46	VPS37B	4354	0.050599128007888794	0.18855871	Yes	
row_47	RAE1	4384	0.050058912485837936	0.19441602	Yes	
row_48	POLR3C	4403	0.049806542694568634	0.2005973	Yes	
row_49	GTF2B	4518	0.04834146425127983	0.20395122	Yes	
row_50	TAF13	4675	0.04669523611664772	0.20606819	Yes	
row_51	GMPR2	4777	0.04563391953706741	0.20980498	Yes	
row_52	NELFE	4904	0.04424368590116501	0.21280548	Yes	
row_53	BOLA2	5198	0.0412553995847702	0.21088758	Yes	
row_54	POLR2C	5246	0.0408334843814373	0.21621476	Yes	
row_55	CSTF3	5692	0.03676644340157509	0.2098202	Yes	
row_56	POM121	5805	0.03579266741871834	0.21323302	Yes	
row_57	TSG101	6004	0.034004274755716324	0.21411303	Yes	
row_58	ERCC2	6149	0.03276843950152397	0.2165834	Yes	
