NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYC	151	0.3372010886669159	5.968847E-4	Yes	
row_1	RAD51C	153	0.3341984450817108	0.0056178956	Yes	
row_2	AK2	203	0.2964964807033539	0.009223186	Yes	
row_3	EXOSC8	280	0.25801804661750793	0.0120321335	Yes	
row_4	PRIM2	293	0.2554464340209961	0.016728709	Yes	
row_5	NOP56	323	0.24455350637435913	0.020923883	Yes	
row_6	PAICS	399	0.22414235770702362	0.023762325	Yes	
row_7	EZH2	698	0.16982893645763397	0.020023566	Yes	
row_8	RAN	715	0.1686973124742508	0.024602164	Yes	
row_9	PMS2	721	0.16768307983875275	0.029505199	Yes	
row_10	IPO7	790	0.16150467097759247	0.0325501	Yes	
row_11	PAN2	797	0.16130098700523376	0.03742364	Yes	
row_12	PLK4	813	0.15959355235099792	0.04203173	Yes	
row_13	MRE11	835	0.1571492999792099	0.04646286	Yes	
row_14	CTPS1	895	0.15138699114322662	0.04977321	Yes	
row_15	XPO1	943	0.14745952188968658	0.053437486	Yes	
row_16	NUP205	1070	0.1375599354505539	0.054771725	Yes	
row_17	NME1	1185	0.12962864339351654	0.056459896	Yes	
row_18	NUP107	1250	0.12591296434402466	0.059622772	Yes	
row_19	TIPIN	1282	0.12378319352865219	0.06375896	Yes	
row_20	LUC7L3	1283	0.12377461045980453	0.068809465	Yes	
row_21	DUT	1320	0.12191314250230789	0.07279818	Yes	
row_22	DONSON	1411	0.11772655695676804	0.07519421	Yes	
row_23	CSE1L	1510	0.11270429939031601	0.07735428	Yes	
row_24	GSPT1	1517	0.1124987080693245	0.082227826	Yes	
row_25	POLE	1544	0.11136922240257263	0.08651148	Yes	
row_26	DIAPH3	1557	0.11071871221065521	0.091208056	Yes	
row_27	PRKDC	1631	0.10784467309713364	0.09410548	Yes	
row_28	AURKB	1655	0.1068383976817131	0.098477624	Yes	
row_29	RAD50	1732	0.10387130081653595	0.101286575	Yes	
row_30	PA2G4	1765	0.10239483416080475	0.10539326	Yes	
row_31	ORC2	1782	0.10207778960466385	0.10997186	Yes	
row_32	DEPDC1	1834	0.10031204670667648	0.11351816	Yes	
row_33	JPT1	1847	0.10001295059919357	0.11821474	Yes	
row_34	CDKN3	1848	0.09996307641267776	0.123265244	Yes	
row_35	TBRG4	1876	0.0990220457315445	0.1275194	Yes	
row_36	TRIP13	1975	0.09559432417154312	0.12967949	Yes	
row_37	SMC6	1994	0.09509868174791336	0.1341991	Yes	
row_38	UNG	2094	0.09236880391836166	0.13632968	Yes	
row_39	WEE1	2103	0.09220007061958313	0.14114423	Yes	
row_40	USP1	2166	0.09005362540483475	0.14436609	Yes	
