NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SORD	60	0.5008010268211365	0.0033324945	No	
row_1	CHPT1	176	0.3132244944572449	0.005042905	No	
row_2	FKBP4	428	0.21469952166080475	0.0027423445	No	
row_3	FDFT1	506	0.19861209392547607	0.005573468	No	
row_4	SLC16A1	590	0.1832871288061142	0.008227636	No	
row_5	RBBP8	803	0.16055195033550262	0.0070772804	No	
row_6	PLK4	813	0.15959355235099792	0.011913889	No	
row_7	CD44	1148	0.13207246363162994	0.0071654567	No	
row_8	SLC29A1	1526	0.11193350702524185	0.001148849	No	
row_9	STIL	1884	0.09863875061273575	-0.0042779096	No	
row_10	SGK1	2219	0.08866919577121735	-0.009026343	No	
row_11	METTL3	2269	0.08732370287179947	-0.0053694313	No	
row_12	SLC22A5	2518	0.08108048886060715	-0.007581515	No	
row_13	CDC6	2566	0.07984546571969986	-0.0038656185	No	
row_14	PDZK1	2688	0.0773497000336647	-0.0023321623	No	
row_15	CDC20	2764	0.07591518014669418	5.5794563E-4	No	
row_16	BCL2	3098	0.06968225538730621	-0.0041609947	No	
row_17	CAV1	3176	0.0683230385184288	-0.0013298716	No	
row_18	MAPT	3242	0.0670301541686058	0.0018551608	No	
row_19	CELSR2	3354	0.06512924283742905	0.0036835412	No	
row_20	SCARB1	3644	0.060091782361269	2.6226792E-4	No	
row_21	GLA	4070	0.054009757936000824	-0.0071699764	No	
row_22	GAL	4516	0.048377521336078644	-0.01519207	No	
row_23	TOP2A	4727	0.046110305935144424	-0.016283441	No	
row_24	SCUBE2	4961	0.043709173798561096	-0.018053137	No	
row_25	DLG5	5035	0.04284294694662094	-0.015104044	No	
row_26	RNASEH2A	5196	0.041266169399023056	-0.014720794	No	
row_27	CCND1	5230	0.04090671241283417	-0.010592003	No	
row_28	IMPA2	5406	0.03943489491939545	-0.010651139	No	
row_29	AGR2	5421	0.039301443845033646	-0.005961992	No	
row_30	PLXNB1	5540	0.03821110352873802	-0.0043400587	No	
row_31	ELOVL5	5583	0.03767751157283783	-4.767003E-4	No	
row_32	LSR	5846	0.035483554005622864	-0.0031016779	No	
row_33	FRK	5999	0.034062739461660385	-0.0024824874	No	
row_34	BTG3	6068	0.033366866409778595	6.1406783E-4	No	
row_35	NXT1	6180	0.03242671489715576	0.0024424482	No	
row_36	CD9	6273	0.031538721174001694	0.0048311846	No	
row_37	KIF20A	6386	0.03082771599292755	0.006630073	No	
row_38	LAMC2	6427	0.030613048002123833	0.010552416	No	
row_39	GINS2	7078	0.026059845462441444	-0.0035156265	No	
row_40	HMGCS2	7354	0.024176903069019318	-0.0065240054	No	
row_41	HSPA4L	7427	0.02377973310649395	-0.0035454202	No	
row_42	RABEP1	7707	0.022053798660635948	-0.006671769	No	
row_43	ALDH3A2	7818	0.02148352563381195	-0.0048138965	No	
row_44	BLVRB	8001	0.020441681146621704	-0.005079479	No	
row_45	KLK10	8370	0.018466178327798843	-0.010830655	No	
row_46	XRCC3	8547	0.017501961439847946	-0.010919282	No	
row_47	SLC27A2	8686	0.01682017557322979	-0.009887198	No	
row_48	PCP4	8693	0.01678410731256008	-0.004962112	No	
row_49	ADD3	9002	0.0152675099670887	-0.008943741	No	
row_50	MEST	9266	0.014061816036701202	-0.011598211	No	
row_51	OPN3	9449	0.013320600613951683	-0.011863794	No	
row_52	PPIF	9608	0.012677287682890892	-0.0114215575	No	
row_53	TOB1	9656	0.012478714808821678	-0.007705662	No	
row_54	ST6GALNAC2	9963	0.01124303974211216	-0.0116283065	No	
row_55	GALE	10014	0.011032290756702423	-0.008000887	No	
row_56	DNAJC1	10259	0.010148114524781704	-0.010095001	No	
row_57	CKB	10582	0.008943366818130016	-0.014489525	No	
row_58	CYP4F11	10614	0.008852818049490452	-0.010301749	No	
row_59	ETFB	10895	0.007931686006486416	-0.013457591	No	
row_60	RAPGEFL1	11378	0.0065068588592112064	-0.022570904	No	
row_61	RET	11690	0.0055701336823403835	-0.026641011	No	
row_62	CCNA1	11696	0.005559114273637533	-0.021686433	No	
row_63	TH	12054	0.004511893726885319	-0.027113192	No	
row_64	TST	12634	0.0031472353730350733	-0.03908727	No	
row_65	FLNB	12861	0.002711401553824544	-0.04065052	No	
row_66	GPER1	13766	0.0012174025177955627	-0.062209643	No	
row_67	PLAC1	14983	-9.702990064397454E-5	-0.0929704	No	
row_68	FABP5	15403	-5.159855354577303E-4	-0.100225694	No	
row_69	TFF1	16382	-0.001650414546020329	-0.12396725	No	
row_70	HPRT1	16823	-0.002330205636098981	-0.13184188	No	
row_71	S100A9	17702	-0.004002811387181282	-0.1526342	No	
row_72	SLC1A4	18396	-0.005487822461873293	-0.16797042	No	
row_73	AMFR	18861	-0.0066732619889080524	-0.17655288	No	
row_74	DCXR	19151	-0.007394127082079649	-0.17997414	No	
row_75	NAB2	19200	-0.007539959158748388	-0.17628774	No	
row_76	SEMA3B	19330	-0.007872137241065502	-0.17499022	No	
row_77	COX6C	19483	-0.008306805975735188	-0.17437103	No	
row_78	CA2	19799	-0.00909390952438116	-0.17855911	No	
row_79	FARP1	19817	-0.009131914004683495	-0.17395844	No	
row_80	KRT13	19871	-0.009256042540073395	-0.1704195	No	
row_81	FGFR3	19984	-0.009549906477332115	-0.16862062	No	
row_82	AREG	20718	-0.011534509249031544	-0.18513653	No	
row_83	OVOL2	20878	-0.01201852597296238	-0.18472378	No	
row_84	ASCL1	21120	-0.012837614864110947	-0.18672942	No	
row_85	SULT2B1	21241	-0.013217299245297909	-0.18516646	No	
row_86	FOXC1	21325	-0.013491724617779255	-0.1825123	No	
row_87	SNX10	21645	-0.014495260082185268	-0.18681835	No	
