NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYC	151	0.3372010886669159	6.749788E-4	Yes	
row_1	CUL4A	232	0.2788754403591156	0.0034438588	Yes	
row_2	PRIM2	293	0.2554464340209961	0.00680257	Yes	
row_3	CUL1	594	0.18282650411128998	0.0030833054	Yes	
row_4	PRPF4B	651	0.1750725358724594	0.006559983	Yes	
row_5	EZH2	698	0.16982893645763397	0.010331577	Yes	
row_6	CCNT1	725	0.16726133227348328	0.014693001	Yes	
row_7	PLK4	813	0.15959355235099792	0.01725544	Yes	
row_8	POLQ	854	0.15499436855316162	0.021203982	Yes	
row_9	XPO1	943	0.14745952188968658	0.02373693	Yes	
row_10	DKC1	1164	0.13110193610191345	0.02237699	Yes	
row_11	MTF2	1341	0.12070745974779129	0.02231468	Yes	
row_12	EXO1	1362	0.119886115193367	0.026853055	Yes	
row_13	CDC7	1405	0.1179535984992981	0.030742614	Yes	
row_14	GSPT1	1517	0.1124987080693245	0.032597255	Yes	
row_15	POLE	1544	0.11136922240257263	0.03695868	Yes	
row_16	RPS6KA5	1630	0.10791711509227753	0.039580103	Yes	
row_17	KMT5A	1639	0.1076660230755806	0.044472374	Yes	
row_18	DTYMK	1641	0.10762283205986023	0.04957109	Yes	
row_19	AURKB	1655	0.1068383976817131	0.054315902	Yes	
row_20	CCNF	1702	0.10527488589286804	0.058087498	Yes	
row_21	JPT1	1847	0.10001295059919357	0.058968917	Yes	
row_22	CDKN3	1848	0.09996307641267776	0.06409712	Yes	
row_23	STIL	1884	0.09863875061273575	0.06819312	Yes	
row_24	TFDP1	1939	0.09672240912914276	0.07172878	Yes	
row_25	CUL5	1950	0.09637022763490677	0.07656207	Yes	
row_26	KATNA1	2021	0.09416648000478745	0.07962587	Yes	
row_27	CHAF1A	2022	0.09416506439447403	0.08475407	Yes	
row_28	CASP8AP2	2031	0.09397971630096436	0.08964635	Yes	
row_29	NCL	2072	0.09283976256847382	0.09359489	Yes	
row_30	ODF2	2163	0.09021278470754623	0.09606885	Yes	
row_31	TNPO2	2170	0.08998849987983704	0.10102011	Yes	
row_32	WRN	2204	0.08909548819065094	0.10517509	Yes	
row_33	NUSAP1	2236	0.08817503601312637	0.10938906	Yes	
row_34	MAD2L1	2295	0.08641967922449112	0.11280675	Yes	
row_35	POLA2	2372	0.08461621403694153	0.1156936	Yes	
row_36	UCK2	2403	0.08392935991287231	0.119937055	Yes	
row_37	TROAP	2418	0.08362270146608353	0.12465238	Yes	
row_38	TRA2B	2446	0.0830361545085907	0.12898432	Yes	
row_39	SAP30	2467	0.08266602456569672	0.13352269	Yes	
row_40	RACGAP1	2500	0.08163031935691833	0.13770716	Yes	
row_41	KIF2C	2535	0.08061030507087708	0.14183265	Yes	
row_42	CDC6	2566	0.07984546571969986	0.14607611	Yes	
row_43	TTK	2612	0.07882701605558395	0.1498772	Yes	
row_44	KPNB1	2633	0.07840711623430252	0.15441558	Yes	
row_45	SFPQ	2679	0.07748611271381378	0.15821666	Yes	
