NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPP2R5B	534	0.19285160303115845	-0.01056622	Yes	
row_1	TRAK2	659	0.17374670505523682	-0.009041611	Yes	
row_2	CPOX	757	0.16470593214035034	-0.006720777	Yes	
row_3	SLC6A8	1082	0.13672232627868652	-0.011094133	Yes	
row_4	FBXO9	1106	0.1347014456987381	-0.0065910527	Yes	
row_5	UROD	1261	0.12522462010383606	-0.0059511387	Yes	
row_6	MOSPD1	1266	0.12470187991857529	-8.8775094E-4	Yes	
row_7	CLCN3	1292	0.1233801394701004	0.0035563505	Yes	
row_8	EPOR	1308	0.12255052477121353	0.00829535	Yes	
row_9	SLC11A2	1387	0.11868241429328918	0.011176491	Yes	
row_10	RANBP10	1423	0.11692337691783905	0.015325693	Yes	
row_11	GMPS	1650	0.10714324563741684	0.013842341	Yes	
row_12	SDCBP	1836	0.10025769472122192	0.01356807	Yes	
row_13	XPO7	1963	0.0960111990571022	0.015033699	Yes	
row_14	ARL2BP	2023	0.0941503718495369	0.018475145	Yes	
row_15	BTRC	2156	0.0903831198811531	0.019763837	Yes	
row_16	GCLC	2333	0.08554764837026596	0.019754974	Yes	
row_17	ATP6V0A1	2376	0.08450287580490112	0.023697749	Yes	
row_18	SNCA	2389	0.08423855900764465	0.028525217	Yes	
row_19	ABCB6	2423	0.08352522552013397	0.0327334	Yes	
row_20	MOCOS	2437	0.0832066759467125	0.03753138	Yes	
row_21	MARK3	2505	0.08140665292739868	0.040736906	Yes	
row_22	ATG4A	2550	0.08026280999183655	0.044620704	Yes	
row_23	BMP2K	2551	0.08022622764110565	0.04980205	Yes	
row_24	MBOAT2	2778	0.07564513385295868	0.048318695	Yes	
row_25	TFRC	2782	0.07552143186330795	0.053411573	Yes	
row_26	BLVRA	2960	0.0719250813126564	0.05337322	Yes	
row_27	NEK7	3241	0.06704282015562057	0.050297417	Yes	
row_28	MXI1	3243	0.06702786684036255	0.055449273	Yes	
row_29	NARF	3844	0.057054005563259125	0.042936727	Yes	
row_30	EZH1	3851	0.0569642037153244	0.047941133	Yes	
row_31	MGST3	3884	0.056639302521944046	0.052178808	Yes	
row_32	GDE1	3960	0.05549921467900276	0.05514842	Yes	
row_33	SYNJ1	4346	0.05069823935627937	0.048976183	Yes	
row_34	CTSB	4563	0.04777270928025246	0.047787726	Yes	
row_35	RBM5	4638	0.04704541712999344	0.050786827	Yes	
row_36	EPB41	4658	0.046911515295505524	0.055407867	Yes	
row_37	RAP1GAP	4928	0.04399047791957855	0.05265645	Yes	
row_38	CTNS	4941	0.043892279267311096	0.05748392	Yes	
row_39	UROS	4962	0.043700575828552246	0.06207547	Yes	
row_40	FTCD	5069	0.04259335994720459	0.064130895	Yes	
row_41	ALDH6A1	5086	0.04241771623492241	0.06884041	Yes	
row_42	NUDT4	5213	0.04109203442931175	0.07030603	Yes	
row_43	SLC25A37	5392	0.03957182914018631	0.070238195	Yes	
row_44	HTRA2	5533	0.03827179595828056	0.07129096	Yes	
row_45	SLC7A11	5707	0.036662209779024124	0.07137057	Yes	
row_46	RIOK3	5722	0.03655649349093437	0.07613906	Yes	
row_47	FOXO3	6094	0.033205416053533554	0.07037968	Yes	
row_48	LAMP2	6280	0.03148726001381874	0.07010541	Yes	
row_49	GCLM	6410	0.03069455176591873	0.07148257	Yes	
row_50	HDGF	6477	0.030216820538043976	0.07471759	Yes	
row_51	TCEA1	6485	0.03019360452890396	0.079692505	Yes	
row_52	FBXO7	6558	0.029635708779096603	0.08275059	Yes	
row_53	KAT2B	6561	0.029584988951683044	0.08787295	Yes	
row_54	DAAM1	6589	0.029372019693255424	0.09225807	Yes	
row_55	BNIP3L	6715	0.02843172661960125	0.0937532	Yes	
row_56	FECH	6970	0.0267396941781044	0.09144413	Yes	
row_57	VEZF1	7317	0.024356957525014877	0.086422	Yes	
row_58	E2F2	7403	0.023900631815195084	0.0890967	Yes	
row_59	ASNS	7505	0.023299291729927063	0.09129958	Yes	
row_60	ADIPOR1	7962	0.020640669390559196	0.08303357	Yes	
row_61	BLVRB	8001	0.020441681146621704	0.0870943	Yes	
row_62	TMCC2	8104	0.019840236753225327	0.089267686	Yes	
row_63	ERMAP	8121	0.01976945996284485	0.0939772	Yes	
row_64	ISCA1	8206	0.0193653404712677	0.09668139	Yes	
row_65	UBAC1	8382	0.018415134400129318	0.096702024	Yes	
row_66	ADD1	8548	0.017501797527074814	0.09701755	Yes	
row_67	HMBS	8596	0.01725025288760662	0.100812875	Yes	
row_68	EPB42	8832	0.016118161380290985	0.09906411	Yes	
row_69	DMTN	8953	0.015538874082267284	0.10070668	Yes	
row_70	TYR	8963	0.015498058870434761	0.10562262	Yes	
row_71	SLC30A10	9055	0.0150558827444911	0.1081204	Yes	
row_72	ARHGEF12	9631	0.012579791247844696	0.09634509	No	
row_73	EIF2AK1	9806	0.011819968931376934	0.09639521	No	
row_74	FOXJ2	10078	0.010774289257824421	0.09358481	No	
row_75	FBXO34	10375	0.009719998575747013	0.090037175	No	
row_76	KHNYN	10839	0.008103662170469761	0.08156473	No	
row_77	PICALM	11159	0.007168523035943508	0.07733882	No	
row_78	HBD	11237	0.006947048008441925	0.08024945	No	
row_79	ENDOD1	11489	0.006199097726494074	0.07802885	No	
row_80	SLC2A1	12128	0.004313959274441004	0.06439569	No	
row_81	HBBP1	13340	0.0018740276573225856	0.03386486	No	
row_82	GLRX5	13810	0.0011591155780479312	0.025215479	No	
row_83	PSMD9	13824	0.0011492224875837564	0.030013459	No	
row_84	DCUN1D1	14137	7.621122640557587E-4	0.025993979	No	
row_85	TFDP2	14249	6.343779969029129E-4	0.027901955	No	
row_86	CDC27	14432	4.457704199012369E-4	0.027716154	No	
row_87	SPTA1	14493	3.972150734625757E-4	0.031128112	No	
row_88	MFHAS1	15084	-1.9484134099911898E-4	0.018910462	No	
row_89	KEL	15499	-6.054994883015752E-4	0.011883021	No	
row_90	PGLS	16090	-0.0012719397200271487	-3.3462862E-4	No	
row_91	HEBP1	16761	-0.0022108734119683504	-0.014911464	No	
row_92	PPOX	17074	-0.0027472188230603933	-0.018930944	No	
