NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPFIA4	393	0.22532416880130768	-0.0064884867	No	
row_1	ATP7A	470	0.20549337565898895	-0.003627871	No	
row_2	GBE1	733	0.1666966825723648	-0.0062528485	No	
row_3	P4HA1	1006	0.14260081946849823	-0.009172751	No	
row_4	ENO2	1269	0.12453648447990417	-0.011797728	No	
row_5	GCNT2	1454	0.11518635600805283	-0.012122295	No	
row_6	ENO1	1546	0.11124792695045471	-0.009704066	No	
row_7	ANKZF1	1582	0.1097198948264122	-0.0056342604	No	
row_8	WSB1	1680	0.10628877580165863	-0.003392986	No	
row_9	B3GALT6	2405	0.08387710899114609	-0.019643469	No	
row_10	RRAGD	2419	0.08361075818538666	-0.01492483	No	
row_11	TPI1	2428	0.08342047780752182	-0.010058729	No	
row_12	PDK1	2459	0.08280012756586075	-0.005841461	No	
row_13	SAP30	2467	0.08266602456569672	-9.458673E-4	No	
row_14	HK2	2789	0.07544051855802536	-0.0053108986	No	
row_15	PGM2	2901	0.07308739423751831	-0.003482518	No	
row_16	HDLBP	3035	0.07065381854772568	-0.0023029714	No	
row_17	BCL2	3098	0.06968225538730621	9.7053836E-4	No	
row_18	PGK1	3107	0.069512739777565	0.0058366396	No	
row_19	CAV1	3176	0.0683230385184288	0.008933195	No	
row_20	KLF6	3210	0.06769677251577377	0.013061985	No	
row_21	MXI1	3243	0.06702786684036255	0.017220268	No	
row_22	DPYSL4	3497	0.062419455498456955	0.014860722	No	
row_23	TPD52	3521	0.06201306730508804	0.019284436	No	
row_24	B4GALNT2	3582	0.061027105897665024	0.022616932	No	
row_25	SCARB1	3644	0.060091782361269	0.025919933	No	
row_26	LDHA	3828	0.0573611743748188	0.025624858	No	
row_27	MAP3K1	4547	0.047964971512556076	0.0095513305	No	
row_28	GAPDH	5141	0.04177666828036308	-0.0028356432	No	
row_29	KDM3A	5203	0.04120537266135216	4.6735897E-4	No	
row_30	TES	5411	0.039374034851789474	-5.355345E-4	No	
row_31	CDKN1C	5547	0.03806448355317116	5.850274E-4	No	
row_32	XPNPEP1	5742	0.03637417033314705	-3.4464443E-5	No	
row_33	ENO3	5937	0.03474656492471695	-6.5395626E-4	No	
row_34	ERO1A	6022	0.03381599113345146	0.0019707198	No	
row_35	HK1	6039	0.03370528295636177	0.0066008815	No	
row_36	FOXO3	6094	0.033205416053533554	0.010110331	No	
row_37	VEGFA	6396	0.03075215220451355	0.006335148	No	
row_38	BNIP3L	6715	0.02843172661960125	0.0020585945	No	
row_39	CCNG2	6848	0.02757328376173973	0.0032676337	No	
row_40	SLC2A3	6903	0.02718549780547619	0.006777083	No	
row_41	FAM162A	7002	0.026575272902846336	0.008988865	No	
row_42	SDC2	7084	0.02603943459689617	0.011702018	No	
row_43	ILVBL	7339	0.024241851642727852	0.00931298	No	
row_44	GALK1	7630	0.02254846878349781	0.0058622146	No	
row_45	LDHC	8210	0.01933469995856285	-0.006111865	No	
row_46	JMJD6	8365	0.018492812290787697	-0.005551659	No	
row_47	MT1E	8525	0.017635419964790344	-0.005138916	No	
row_48	ZNF292	8663	0.016931023448705673	-0.0040773386	No	
row_49	TKTL1	8932	0.015657441690564156	-0.006879271	No	
row_50	SLC37A4	9300	0.0139433229342103	-0.012600954	No	
row_51	DDIT4	9548	0.012917418964207172	-0.014783545	No	
row_52	IRS2	9553	0.012899105437099934	-0.009799474	No	
row_53	ANXA2	9625	0.01260048896074295	-0.006791396	No	
row_54	EFNA1	9759	0.012054604478180408	-0.0056118495	No	
row_55	PKLR	9850	0.011624681763350964	-0.003164128	No	
row_56	KLHL24	10133	0.010596111416816711	-0.0063789543	No	
row_57	EDN2	10761	0.008324334397912025	-0.01976867	No	
row_58	CITED2	11115	0.007301274687051773	-0.02507746	No	
row_59	HEXA	11740	0.0054318844340741634	-0.0383787	No	
row_60	BRS3	12009	0.0046347035095095634	-0.04118063	No	
row_61	SLC2A1	12128	0.004313959274441004	-0.039558697	No	
row_62	STBD1	12136	0.004296352155506611	-0.034663104	No	
row_63	GPC4	12903	0.002621815074235201	-0.05215227	No	
row_64	ANGPTL4	12945	0.0025333582889288664	-0.04825942	No	
row_65	SLC25A1	13417	0.0017248626099899411	-0.057048313	No	
row_66	TIPARP	13940	0.0010154194897040725	-0.06734133	No	
row_67	BTG1	14085	8.307835669256747E-4	-0.066486195	No	
row_68	GCK	15966	-0.0011186787160113454	-0.11682993	No	
row_69	NFIL3	16305	-0.0015744732227176428	-0.12169634	No	
row_70	NOCT	16488	-0.001797169097699225	-0.12196192	No	
row_71	CAVIN3	16708	-0.002132968045771122	-0.123318724	No	
row_72	F3	16733	-0.0021704307291656733	-0.1189245	No	
row_73	KDELR3	17088	-0.002767538884654641	-0.12426278	No	
row_74	ALDOA	17136	-0.002866326831281185	-0.120546885	No	
row_75	GYS1	17161	-0.0029012884479016066	-0.11615266	No	
row_76	PRDX5	17741	-0.004093513824045658	-0.12812674	No	
row_77	GAPDHS	17904	-0.00441500311717391	-0.12780248	No	
row_78	NCAN	17919	-0.004451796878129244	-0.12311333	No	
row_79	PGM1	18246	-0.005187002941966057	-0.12762582	No	
row_80	TMEM45A	18478	-0.005714095197618008	-0.12933654	No	
row_81	HOXB9	18614	-0.006052728742361069	-0.12821597	No	
row_82	PCK1	19444	-0.008161520585417747	-0.14756316	No	
row_83	PNRC1	19830	-0.009171987883746624	-0.1538157	No	
row_84	ADM	19866	-0.009243703447282314	-0.1497459	No	
row_85	GPI	20069	-0.009798026643693447	-0.15060133	No	
row_86	IGFBP1	20207	-0.01020157989114523	-0.14953975	No	
row_87	NAGK	20300	-0.010435305535793304	-0.14715102	No	
row_88	BCAN	20804	-0.011768545024096966	-0.15688367	No	
row_89	SULT2B1	21241	-0.013217299245297909	-0.16464034	No	
row_90	ALDOC	21412	-0.013735590502619743	-0.164552	No	
row_91	AK4	21918	-0.015415998175740242	-0.17434365	No	
row_92	SRPX	22058	-0.015927661210298538	-0.17334105	No	
