NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD44	1148	0.13207246363162994	-0.022254571	No	
row_1	PTPN11	1505	0.1128511130809784	-0.021225981	No	
row_2	LTBR	5003	0.04312311112880707	-0.11253629	No	
row_3	CD9	6273	0.031538721174001694	-0.13834801	No	
row_4	IFNAR1	7634	0.02252093143761158	-0.16683494	No	
row_5	HAX1	9354	0.013711854815483093	-0.20587572	No	
row_6	TNFRSF12A	10973	0.0076678735204041	-0.24194732	No	
row_7	STAM2	11671	0.0056177047081291676	-0.25094342	No	
row_8	CD36	13281	0.001961618196219206	-0.28675047	No	
row_9	PF4	13290	0.0019476200686767697	-0.2754914	No	
row_10	IFNGR1	13508	0.001582218916155398	-0.27037647	No	
row_11	REG1A	16699	-0.002114713191986084	-0.3526616	No	
row_12	CXCL1	17013	-0.002647989895194769	-0.35036892	No	
row_13	DNTT	18065	-0.004756358917802572	-0.3697719	No	
row_14	CRLF2	18308	-0.005283198785036802	-0.36539194	No	
row_15	INHBE	19584	-0.00857077818363905	-0.39138004	No	
row_16	CNTFR	21721	-0.014783109538257122	-0.44267976	No	
row_17	CCL7	22879	-0.01887846738100052	-0.46519893	No	
row_18	ACVR1B	23882	-0.022843455895781517	-0.4831614	No	
row_19	IL17RB	24754	-0.02661469392478466	-0.49727276	No	
row_20	HMOX1	26143	-0.0335703007876873	-0.52658284	Yes	
row_21	PTPN2	26424	-0.03535069525241852	-0.52331996	Yes	
row_22	LEPR	26550	-0.036190446466207504	-0.5155005	Yes	
row_23	IFNGR2	26885	-0.038306865841150284	-0.5138251	Yes	
row_24	IL1R2	26909	-0.038461633026599884	-0.50300705	Yes	
row_25	IL1B	26959	-0.03875532001256943	-0.49295327	Yes	
row_26	CXCL11	27622	-0.04341134801506996	-0.5009205	Yes	
row_27	IL6ST	27940	-0.045730166137218475	-0.49874535	Yes	
row_28	ITGB3	28495	-0.05091879889369011	-0.50353754	Yes	
row_29	CSF2	28508	-0.051027581095695496	-0.49239606	Yes	
row_30	IL7	28579	-0.0517534576356411	-0.48295966	Yes	
row_31	CXCL10	29220	-0.0590178519487381	-0.4902801	Yes	
row_32	TNFRSF1A	29526	-0.06277339905500412	-0.4877522	Yes	
row_33	PIM1	29551	-0.06310290098190308	-0.4769635	Yes	
row_34	BAK1	29840	-0.06699744611978531	-0.47393584	Yes	
row_35	PLA2G2A	30107	-0.07084208726882935	-0.47026145	Yes	
row_36	MAP3K8	30121	-0.07103253155946732	-0.45914936	Yes	
row_37	IL10RB	30239	-0.07302597910165787	-0.4510947	Yes	
row_38	SOCS3	30631	-0.08040499687194824	-0.451095	Yes	
row_39	IL6	30642	-0.08060431480407715	-0.43989474	Yes	
row_40	JUN	30934	-0.08777555823326111	-0.43695527	Yes	
row_41	CXCL3	31041	-0.09057451039552689	-0.4285772	Yes	
row_42	IL13RA1	31136	-0.0934370681643486	-0.41984636	Yes	
row_43	TYK2	31165	-0.09436483681201935	-0.40917525	Yes	
row_44	IL9R	31170	-0.09453816711902618	-0.3977986	Yes	
row_45	GRB2	31352	-0.0998968705534935	-0.39162537	Yes	
row_46	CSF3R	31608	-0.11059091985225677	-0.3876276	Yes	
row_47	PDGFC	31660	-0.113191157579422	-0.37763262	Yes	
row_48	STAT2	31694	-0.11485474556684494	-0.3671085	Yes	
row_49	PTPN1	31810	-0.120986208319664	-0.35899502	Yes	
row_50	IL1R1	31912	-0.12610016763210297	-0.35046995	Yes	
row_51	CBL	31958	-0.128597691655159	-0.34029862	Yes	
row_52	EBI3	32047	-0.13632334768772125	-0.33139136	Yes	
row_53	CSF2RA	32126	-0.14320003986358643	-0.32219017	Yes	
row_54	STAT3	32242	-0.15485413372516632	-0.31407666	Yes	
row_55	IL3RA	32590	-0.2125576287508011	-0.3127835	Yes	
row_56	IRF9	32653	-0.22736065089702606	-0.3031119	Yes	
row_57	IL17RA	32662	-0.23109862208366394	-0.29185286	Yes	
