NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	P2RX7	56	0.5175555348396301	0.003373403	No	
row_1	MYC	151	0.3372010886669159	0.0056259944	No	
row_2	KIF1B	679	0.17165647447109222	-0.0048927683	No	
row_3	ATP2C1	955	0.14609022438526154	-0.00797878	No	
row_4	SLC11A2	1387	0.11868241429328918	-0.015666017	No	
row_5	SRI	2596	0.07911574095487595	-0.046270907	No	
row_6	GNAI3	2742	0.07641474902629852	-0.045522563	No	
row_7	KLF6	3210	0.06769677251577377	-0.054271623	No	
row_8	PCDH7	3278	0.06646851450204849	-0.051222663	No	
row_9	GABBR1	4141	0.05309304967522621	-0.07162227	No	
row_10	ACVR2A	4406	0.04973410815000534	-0.07438383	No	
row_11	ROS1	5163	0.04155544936656952	-0.09165696	No	
row_12	AQP9	5885	0.0351514033973217	-0.10789776	No	
row_13	NPFFR2	6412	0.030684802681207657	-0.11838703	No	
row_14	IFNAR1	7634	0.02252093143761158	-0.14937535	No	
row_15	SLC28A2	7685	0.022195791825652122	-0.14582498	No	
row_16	ABI1	7710	0.022034164518117905	-0.14150773	No	
row_17	ATP2A2	7887	0.021070364862680435	-0.14167374	No	
row_18	KCNMB2	8338	0.018606290221214294	-0.14992139	No	
row_19	BEST1	8601	0.01720564253628254	-0.15262395	No	
row_20	SLC7A1	8610	0.017170686274766922	-0.1478348	No	
row_21	DCBLD2	9383	0.01360932644456625	-0.16557984	No	
row_22	CXCL8	9973	0.011207826435565948	-0.1779273	No	
row_23	GP1BA	11173	0.007123688235878944	-0.20826674	No	
row_24	TNFSF9	11634	0.0057211825624108315	-0.21680932	No	
row_25	CD55	12445	0.003556529525667429	-0.23567519	No	
row_26	EMP3	12447	0.0035462507512420416	-0.23067956	No	
row_27	RNF144B	12933	0.002552374266088009	-0.23995952	No	
row_28	TACR3	13538	0.0015320123638957739	-0.2527494	No	
row_29	NFKB1	15692	-8.223667391575873E-4	-0.3112271	No	
row_30	F3	16733	-0.0021704307291656733	-0.33687684	No	
row_31	VIP	16923	-0.0024922234006226063	-0.33742628	No	
row_32	MEP1A	17135	-0.00286310026422143	-0.3386246	No	
row_33	PDE4B	17580	-0.00373810064047575	-0.34669527	No	
row_34	HPN	18152	-0.004945462103933096	-0.3585118	No	
row_35	CSF3	18640	-0.006128878798335791	-0.36785078	No	
row_36	KCNJ2	19102	-0.007281203288584948	-0.37642285	No	
row_37	MXD1	19539	-0.00841396115720272	-0.38425758	No	
row_38	ADM	19866	-0.009243703447282314	-0.38884783	No	
row_39	HBEGF	19960	-0.00948383193463087	-0.38656574	No	
row_40	RIPK2	20397	-0.010673688724637032	-0.39440048	No	
row_41	PVR	20873	-0.012000160291790962	-0.4033855	No	
row_42	AHR	21178	-0.013012364506721497	-0.40732685	No	
row_43	EDN1	21305	-0.013427586294710636	-0.4060181	No	
row_44	NAMPT	21441	-0.013835573568940163	-0.40497482	No	
row_45	SLC31A1	21588	-0.014319764450192451	-0.40425596	No	
row_46	P2RY2	22089	-0.016049237921833992	-0.41397837	No	
row_47	MMP14	22190	-0.016420241445302963	-0.41190273	No	
row_48	CXCL6	22517	-0.017576009035110474	-0.416493	No	
row_49	CCL7	22879	-0.01887846738100052	-0.42211556	No	
row_50	HAS2	22895	-0.01893432065844536	-0.4175329	No	
row_51	CCL22	22929	-0.019084330648183823	-0.4134811	No	
row_52	ACVR1B	23882	-0.022843455895781517	-0.43653524	No	
row_53	SLC1A2	24336	-0.024715030565857887	-0.44487137	No	
row_54	PROK2	24611	-0.025929439812898636	-0.4479279	No	
row_55	SLC4A4	24614	-0.025942564010620117	-0.44296175	No	
row_56	ADORA2B	24653	-0.026071371510624886	-0.43905744	No	
row_57	IL1A	24687	-0.026277028024196625	-0.43500566	No	
row_58	NDP	25113	-0.02831275761127472	-0.4425159	No	
row_59	PSEN1	25339	-0.02940460294485092	-0.44412717	No	
row_60	OSM	25470	-0.03005613572895527	-0.44293642	No	
row_61	IL18	25967	-0.03258989751338959	-0.4525408	No	
row_62	OPRK1	26150	-0.03361237794160843	-0.4528838	No	
row_63	SGMS2	26470	-0.03566620498895645	-0.45726758	Yes	
row_64	RGS1	26602	-0.036512114107608795	-0.4561063	Yes	
row_65	MARCO	26697	-0.03716011345386505	-0.45385373	Yes	
row_66	BDKRB1	26807	-0.03784327954053879	-0.45204356	Yes	
row_67	CCL20	26873	-0.038236405700445175	-0.44893563	Yes	
row_68	IFNGR2	26885	-0.038306865841150284	-0.44423494	Yes	
row_69	IL1B	26959	-0.03875532001256943	-0.44136295	Yes	
row_70	SLC7A2	27024	-0.03920266032218933	-0.4382255	Yes	
row_71	CX3CL1	27136	-0.039948225021362305	-0.43647432	Yes	
row_72	P2RX4	27378	-0.0416206493973732	-0.4385575	Yes	
row_73	ADRM1	27403	-0.04181203618645668	-0.43424025	Yes	
row_74	RELA	27620	-0.0434049516916275	-0.43558607	Yes	
row_75	CXCL11	27622	-0.04341134801506996	-0.43059045	Yes	
row_76	CCL17	27746	-0.04426801949739456	-0.4291932	Yes	
row_77	SCN1B	27774	-0.04443700984120369	-0.42496446	Yes	
row_78	RTP4	27899	-0.045436132699251175	-0.4235967	Yes	
row_79	CD70	27905	-0.045471806079149246	-0.41871905	Yes	
row_80	ATP2B1	28110	-0.04743955284357071	-0.4197109	Yes	
row_81	IL12B	28178	-0.04797736927866936	-0.41666195	Yes	
row_82	ITGB3	28495	-0.05091879889369011	-0.42095727	Yes	
row_83	FFAR2	28812	-0.05424614995718002	-0.4252526	Yes	
row_84	SLC31A2	28813	-0.05424764007329941	-0.42022744	Yes	
row_85	CXCL10	29220	-0.0590178519487381	-0.4271773	Yes	
row_86	CLEC5A	29226	-0.059078723192214966	-0.42229965	Yes	
row_87	TPBG	29274	-0.059605665504932404	-0.4186608	Yes	
row_88	CCRL2	29372	-0.06093675643205643	-0.4164967	Yes	
row_89	CDKN1A	29473	-0.06208600476384163	-0.41442108	Yes	
row_90	MET	29792	-0.06634023040533066	-0.41877538	Yes	
row_91	NMUR1	30021	-0.06954039633274078	-0.42047513	Yes	
row_92	GPC3	30041	-0.0698278471827507	-0.4160104	Yes	
row_93	CD82	30082	-0.07035686820745468	-0.41216508	Yes	
row_94	TNFAIP6	30135	-0.07118744403123856	-0.4086737	Yes	
row_95	GNA15	30222	-0.07280264049768448	-0.40618515	Yes	
row_96	ITGB8	30356	-0.075127974152565	-0.40508285	Yes	
row_97	IL10	30395	-0.07572194933891296	-0.40117854	Yes	
row_98	INHBA	30409	-0.07601986080408096	-0.39653686	Yes	
row_99	LIF	30410	-0.07602714002132416	-0.39151174	Yes	
row_100	IL6	30642	-0.08060431480407715	-0.39329997	Yes	
row_101	PDPN	30901	-0.0869678184390068	-0.39588454	Yes	
row_102	ADGRE1	30917	-0.0873023197054863	-0.39130184	Yes	
row_103	EREG	30921	-0.0874733030796051	-0.3863652	Yes	
row_104	PLAUR	31017	-0.08994261920452118	-0.3841421	Yes	
row_105	TACR1	31077	-0.09152780473232269	-0.3808572	Yes	
