NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SORD	60	0.5008010268211365	0.015479006	Yes	
row_1	MYC	151	0.3372010886669159	0.030076826	Yes	
row_2	NOP56	323	0.24455350637435913	0.04229544	Yes	
row_3	UTP20	371	0.23145058751106262	0.058156293	Yes	
row_4	WDR43	437	0.21228191256523132	0.07348844	Yes	
row_5	PRMT3	450	0.20970463752746582	0.09037734	Yes	
row_6	SUPV3L1	489	0.20179639756679535	0.10650255	Yes	
row_7	SRM	682	0.1709814816713333	0.11810433	Yes	
row_8	HSPD1	706	0.16924534738063812	0.13467014	Yes	
row_9	MRTO4	796	0.1613042950630188	0.14929733	Yes	
row_10	PLK4	813	0.15959355235099792	0.16606875	Yes	
row_11	PUS1	1113	0.1341855674982071	0.17452763	Yes	
row_12	TMEM97	1503	0.11287681758403778	0.18034296	Yes	
row_13	PA2G4	1765	0.10239483416080475	0.18991801	Yes	
row_14	IPO4	1873	0.09907805174589157	0.20401649	Yes	
row_15	TBRG4	1876	0.0990220457315445	0.22119913	Yes	
row_16	NDUFAF4	1911	0.09765968471765518	0.23744182	Yes	
row_17	UNG	2094	0.09236880391836166	0.24933733	Yes	
row_18	GNL3	2665	0.07787769287824631	0.24983618	Yes	
row_19	HK2	2789	0.07544051855802536	0.2634647	Yes	
row_20	NOP2	2791	0.0753595232963562	0.2806767	Yes	
row_21	NOP16	2932	0.07251376658678055	0.29380587	Yes	
row_22	WDR74	2997	0.07127130031585693	0.3091674	Yes	
row_23	BYSL	3167	0.06849562376737595	0.32144475	Yes	
row_24	NPM1	3320	0.06589820981025696	0.33422145	Yes	
row_25	EXOSC5	3745	0.05852347984910011	0.33900872	Yes	
row_26	MPHOSPH10	3853	0.05695364624261856	0.35310718	Yes	
row_27	HSPE1	3874	0.056771066039800644	0.3697611	Yes	
row_28	NOLC1	4175	0.052670810371637344	0.37819064	Yes	
row_29	MAP3K6	4202	0.052340492606163025	0.3946683	Yes	
row_30	TFB2M	4211	0.05223580822348595	0.4116747	Yes	
row_31	SLC19A1	4259	0.05170731246471405	0.42753556	Yes	
row_32	MCM4	4573	0.04760805144906044	0.43558323	Yes	
row_33	DDX18	4661	0.04685751721262932	0.45026916	Yes	
row_34	PLK1	4926	0.04399723559617996	0.4597561	Yes	
row_35	AIMP2	5171	0.04145384207367897	0.4698305	Yes	
row_36	LAS1L	5630	0.037241943180561066	0.4736191	Yes	
row_37	CBX3	5755	0.036260876804590225	0.48721823	Yes	
row_38	PPRC1	7384	0.023998934775590897	0.45664054	No	
row_39	PHB	8073	0.020052824169397354	0.4536734	No	
row_40	SLC29A2	10296	0.010034395381808281	0.4056482	No	
row_41	MYBBP1A	10516	0.009188723750412464	0.41645694	No	
row_42	NOC4L	11348	0.0065791732631623745	0.40928945	No	
row_43	GRWD1	17342	-0.003272576257586479	0.2504991	No	
row_44	RRP12	18970	-0.006924266926944256	0.21995078	No	
row_45	RABEPK	20595	-0.011215961538255215	0.1894906	No	
row_46	NIP7	20869	-0.0119740916416049	0.19871317	No	
row_47	PES1	21392	-0.013681669719517231	0.2006219	No	
row_48	RCL1	22014	-0.015779884532094002	0.19962272	No	
row_49	PPAN	22906	-0.01898069493472576	0.19069286	No	
row_50	CDK4	24240	-0.024369042366743088	0.16878018	No	
row_51	RRP9	25011	-0.027751104906201363	0.16340443	No	
row_52	DCTPP1	25734	-0.031364187598228455	0.1594386	No	
row_53	TCOF1	25881	-0.03212542459368706	0.17239152	No	
row_54	IMP4	26757	-0.037516042590141296	0.16393162	No	
row_55	MCM5	27034	-0.03930722177028656	0.1730661	No	
row_56	FARSA	27361	-0.04149337485432625	0.18073191	No	
row_57	DUSP2	32768	-0.2585025429725647	0.039183453	No	
