NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGCA	85	0.44690755009651184	0.0025692112	No	
row_1	CKMT2	94	0.42315158247947693	0.007409407	No	
row_2	PPFIA4	393	0.22532416880130768	0.0036965439	No	
row_3	AGL	405	0.22246959805488586	0.008448259	No	
row_4	PSEN2	480	0.20325349271297455	0.011341897	No	
row_5	EIF4A2	639	0.17626819014549255	0.0117580965	No	
row_6	TEAD4	839	0.15680889785289764	0.010965071	No	
row_7	SLC6A8	1082	0.13672232627868652	0.008903833	No	
row_8	RB1	1314	0.12230038642883301	0.0071670217	No	
row_9	PFKM	1316	0.12222999334335327	0.012213671	No	
row_10	IFRD1	1851	0.09982552379369736	0.0015403874	No	
row_11	ERBB3	2062	0.09313485026359558	4.2293538E-4	No	
row_12	SGCD	2828	0.07467145472764969	-0.017063301	No	
row_13	FDPS	3189	0.06805253028869629	-0.022604749	No	
row_14	PICK1	3672	0.059644974768161774	-0.03174438	No	
row_15	FKBP1B	4537	0.04807385057210922	-0.052150454	No	
row_16	FOXO4	4778	0.045625239610672	-0.054152705	No	
row_17	NAV2	4818	0.045151595026254654	-0.0502268	No	
row_18	ACSL1	4897	0.0442894883453846	-0.04745114	No	
row_19	ADCY9	4965	0.04368165135383606	-0.04435105	No	
row_20	CRAT	5096	0.042256616055965424	-0.043109033	No	
row_21	PTP4A3	5646	0.037151992321014404	-0.05422472	No	
row_22	KIFC3	5728	0.03650142624974251	-0.051537532	No	
row_23	MAPK12	5783	0.03601284325122833	-0.04805403	No	
row_24	AGRN	5858	0.03535473719239235	-0.04516039	No	
row_25	GPX3	5935	0.03475220128893852	-0.042325743	No	
row_26	ENO3	5937	0.03474656492471695	-0.03727909	No	
row_27	DMD	6132	0.03290393203496933	-0.03792465	No	
row_28	FABP3	6225	0.031962331384420395	-0.035561893	No	
row_29	GNAO1	6416	0.030661895871162415	-0.03608948	No	
row_30	ACTN3	6634	0.02905445359647274	-0.037413385	No	
row_31	CHRNG	6705	0.02852427028119564	-0.034401774	No	
row_32	MAPRE3	6778	0.02801414392888546	-0.03144915	No	
row_33	MYOM2	7162	0.025532467290759087	-0.037668943	No	
row_34	CACNG1	7435	0.023756224662065506	-0.04061498	No	
row_35	DES	7651	0.0224005077034235	-0.0418799	No	
row_36	HDAC5	7837	0.02137703076004982	-0.042260017	No	
row_37	CHRNB1	7899	0.0209842249751091	-0.03898297	No	
row_38	CHRNA1	7930	0.02083369344472885	-0.034791626	No	
row_39	SH2B1	8255	0.019031452015042305	-0.039271314	No	
row_40	OCEL1	8305	0.01873418688774109	-0.035640344	No	
row_41	MYL6B	9070	0.014996033161878586	-0.053097088	No	
row_42	NOS1	10496	0.009266751818358898	-0.0900489	No	
row_43	LPIN1	10497	0.009262153878808022	-0.08497276	No	
row_44	CKB	10582	0.008943366818130016	-0.08237406	No	
row_45	REEP1	10645	0.008706092834472656	-0.0791265	No	
row_46	CACNA1H	10702	0.008521346375346184	-0.07570198	No	
row_47	KLF5	11341	0.006604696158319712	-0.08944257	No	
row_48	MYLPF	12264	0.003972039557993412	-0.11155926	No	
row_49	CAV3	12362	0.003735562553629279	-0.10934397	No	
row_50	AK1	12549	0.0033145761117339134	-0.10975358	No	
