NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACADM	126	0.3643403649330139	0.001690564	Yes	
row_1	SUPV3L1	489	0.20179639756679535	-0.0035768293	Yes	
row_2	RETSAT	509	0.19814471900463104	0.0012684017	Yes	
row_3	LRPPRC	550	0.190639927983284	0.0054944926	Yes	
row_4	COX11	566	0.18790794909000397	0.0104576545	Yes	
row_5	PDHA1	575	0.1866447478532791	0.015627198	Yes	
row_6	SLC25A3	596	0.18232589960098267	0.020442946	Yes	
row_7	MTRF1	776	0.16250498592853546	0.020570917	Yes	
row_8	MRPL15	924	0.14858098328113556	0.02164234	Yes	
row_9	MTX2	1001	0.14276885986328125	0.024807049	Yes	
row_10	COX15	1069	0.13758178055286407	0.028237103	Yes	
row_11	NDUFS3	1107	0.1346326470375061	0.032551643	Yes	
row_12	MFN2	1383	0.11886008083820343	0.029849257	Yes	
row_13	RHOT1	1426	0.11656451970338821	0.034016382	Yes	
row_14	UQCRC2	1567	0.11042091995477676	0.035294186	Yes	
row_15	VDAC3	1578	0.1099163293838501	0.040404763	Yes	
row_16	SUCLA2	1596	0.10933312773704529	0.04530896	Yes	
row_17	OPA1	1609	0.10877533257007599	0.05036057	Yes	
row_18	UQCRB	1629	0.10803486406803131	0.055205803	Yes	
row_19	COX10	1669	0.10648544877767563	0.059461378	Yes	
row_20	SLC25A4	1738	0.10365349799394608	0.06286195	Yes	
row_21	SUCLG1	1828	0.10043616592884064	0.06564338	Yes	
row_22	HADHA	1955	0.09624619036912918	0.06733394	Yes	
row_23	IDH3B	2042	0.09363877773284912	0.07020382	Yes	
row_24	ACADSB	2060	0.09315081685781479	0.075108014	Yes	
row_25	ETFDH	2124	0.09153315424919128	0.078656	Yes	
row_26	DECR1	2157	0.09034623950719833	0.083117954	Yes	
row_27	TOMM22	2958	0.07197391986846924	0.06493706	Yes	
row_28	TIMM13	3087	0.06987234205007553	0.066568665	Yes	
row_29	SLC25A5	3136	0.06909887492656708	0.07055889	Yes	
row_30	UQCRH	3145	0.06883715093135834	0.07572843	Yes	
row_31	HADHB	3318	0.06590644270181656	0.07606278	Yes	
