NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEMA3C	84	0.447437584400177	0.007144724	Yes	
row_1	ABCD3	328	0.24310536682605743	0.009612841	Yes	
row_2	ABCC5	441	0.21145863831043243	0.015934011	Yes	
row_3	GNPAT	508	0.19815874099731445	0.023608161	Yes	
row_4	RETSAT	509	0.19814471900463104	0.033223547	Yes	
row_5	PEX13	554	0.18953482806682587	0.041544776	Yes	
row_6	CTPS1	895	0.15138699114322662	0.04115987	Yes	
row_7	NUDT19	1032	0.14074981212615967	0.046775136	Yes	
row_8	SLC25A4	1738	0.10365349799394608	0.035654616	Yes	
row_9	PEX11A	1742	0.10343852639198303	0.045181762	Yes	
row_10	LONP2	1756	0.10275720059871674	0.054414783	Yes	
row_11	SCP2	1888	0.09851580113172531	0.060177114	Yes	
row_12	TSPO	2300	0.08636906743049622	0.05770391	Yes	
row_13	CACNA1B	2401	0.08394742012023926	0.06437803	Yes	
row_14	PEX2	2444	0.08305544406175613	0.072758086	Yes	
row_15	PEX14	2476	0.08221898227930069	0.081461675	Yes	
row_16	SLC25A17	2683	0.07739506661891937	0.08501806	Yes	
row_17	VPS4B	2900	0.07309902459383011	0.08828032	Yes	
row_18	HMGCL	2979	0.07165930420160294	0.09560152	Yes	
row_19	EHHADH	3056	0.07024424523115158	0.102981545	Yes	
row_20	FDPS	3189	0.06805253028869629	0.10871446	Yes	
row_21	PABPC1	3248	0.06695939600467682	0.116623916	Yes	
row_22	BCL10	3575	0.061130132526159286	0.11665078	Yes	
row_23	HSD17B11	3786	0.05792482942342758	0.120089516	Yes	
row_24	MLYCD	3815	0.0574478805065155	0.12888135	Yes	
row_25	PEX11B	3964	0.05546361580491066	0.13414367	Yes	
row_26	PEX5	4061	0.05414240434765816	0.14093544	Yes	
row_27	SOD1	4127	0.053259026259183884	0.148639	Yes	
row_28	FADS1	4180	0.05252591520547867	0.15672493	Yes	
row_29	HRAS	4307	0.05118060111999512	0.16263433	Yes	
row_30	ABCD1	4554	0.04790651425719261	0.16501419	Yes	
row_31	CLN8	4647	0.0470009408891201	0.17192362	Yes	
row_32	TOP2A	4727	0.046110305935144424	0.17921542	Yes	
row_33	MSH2	4896	0.04430190846323967	0.18388948	Yes	
row_34	ACSL1	4897	0.0442894883453846	0.19350486	Yes	
row_35	CRAT	5096	0.042256616055965424	0.19729654	Yes	
row_36	SLC23A2	5123	0.041930753737688065	0.2061472	Yes	
row_37	ACOX1	5271	0.040628254413604736	0.21143892	Yes	
row_38	SIAH1	5453	0.038961056619882584	0.21573062	Yes	
row_39	ELOVL5	5583	0.03767751157283783	0.22155178	Yes	
row_40	ECI2	5599	0.03747048228979111	0.23072597	Yes	
