NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GAD1	19	1.2071274518966675	0.007016457	Yes	
row_1	MLLT10	247	0.27109038829803467	0.007910045	Yes	
row_2	SPATA6	438	0.2121051549911499	0.009892797	Yes	
row_3	MTOR	543	0.19137442111968994	0.01440712	Yes	
row_4	RAD17	646	0.17547744512557983	0.018980317	Yes	
row_5	EZH2	698	0.16982893645763397	0.025054794	Yes	
row_6	MAST2	703	0.16950523853302002	0.032512803	Yes	
row_7	ZC3H14	734	0.1664176732301712	0.039205454	Yes	
row_8	IL12RB2	1413	0.11741634458303452	0.026823014	Yes	
row_9	PSMG1	1485	0.1134733036160469	0.032308754	Yes	
row_10	VDAC3	1578	0.1099163293838501	0.03717632	Yes	
row_11	IFT88	1595	0.10937699675559998	0.044281088	Yes	
row_12	NPHP1	1635	0.10778937488794327	0.050708808	Yes	
row_13	CDKN3	1848	0.09996307641267776	0.05204395	Yes	
row_14	PIAS2	2019	0.09423669427633286	0.054615438	Yes	
row_15	TSN	2316	0.08585935831069946	0.05347788	Yes	
row_16	PARP2	2398	0.08401856571435928	0.05866925	Yes	
row_17	KIF2C	2535	0.08061030507087708	0.062241595	Yes	
row_18	PGS1	2553	0.08019854128360748	0.06931692	Yes	
row_19	TTK	2612	0.07882701605558395	0.07518534	Yes	
row_20	TALDO1	2755	0.07608401775360107	0.078581065	Yes	
row_21	TOPBP1	2757	0.07600947469472885	0.086127385	Yes	
row_22	BRAF	3046	0.07045236229896545	0.08522533	Yes	
row_23	GMCL1	3052	0.07034699618816376	0.0926539	Yes	
row_24	RFC4	3093	0.06980347633361816	0.09905218	Yes	
row_25	PEBP1	3106	0.06951344013214111	0.106274694	Yes	
row_26	NCAPH	3144	0.06889178603887558	0.11276129	Yes	
row_27	CCNB2	3181	0.06825826317071915	0.11927732	Yes	
row_28	AGFG1	3282	0.0664091557264328	0.12390939	Yes	
row_29	MLF1	3444	0.0634489580988884	0.12674582	Yes	
row_30	NEK2	4086	0.05384230986237526	0.115452535	Yes	
row_31	DBF4	4402	0.04980747029185295	0.11375568	Yes	
row_32	ARL4A	4466	0.04905584827065468	0.119476914	Yes	
row_33	BUB1	5094	0.04229127615690231	0.10859575	Yes	
row_34	SIRT1	5600	0.03746459260582924	0.10130589	Yes	
row_35	SLC12A2	5713	0.036637309938669205	0.10558472	Yes	
row_36	CCT6B	5787	0.035965222865343094	0.11101158	Yes	
row_37	DDX4	5812	0.035711802542209625	0.11788086	Yes	
row_38	CDK1	6026	0.03378826007246971	0.11918656	Yes	
row_39	COIL	6516	0.029942501336336136	0.11236769	Yes	
row_40	ELOVL3	6640	0.028956854715943336	0.11632271	Yes	
row_41	ACRV1	6665	0.028736883774399757	0.12319198	Yes	
row_42	OAZ3	6997	0.026601850986480713	0.12102413	Yes	
row_43	HSPA4L	7427	0.02377973310649395	0.115971476	Yes	
row_44	PACRG	7516	0.023255091160535812	0.120956786	Yes	
row_45	AURKA	7836	0.021381281316280365	0.11914218	Yes	
row_46	HSPA1L	7843	0.021333379670977592	0.12654132	Yes	
row_47	LDHC	8210	0.01933469995856285	0.123343185	Yes	
row_48	HSPA2	8421	0.018213532865047455	0.124737196	Yes	
row_49	PCSK1N	8625	0.017109759151935577	0.12633727	Yes	
row_50	TKTL1	8932	0.015657441690564156	0.12490534	Yes	
row_51	PRKAR2A	9262	0.014065521769225597	0.12279637	Yes	
row_52	PDHA2	9721	0.012239357456564903	0.11689004	Yes	
row_53	PHKG2	10216	0.01029537245631218	0.10992398	Yes	
row_54	TEKT2	10227	0.010258564725518227	0.117205374	Yes	
row_55	NOS1	10496	0.009266751818358898	0.11689205	Yes	
row_56	LPIN1	10497	0.009262153878808022	0.124467805	Yes	
row_57	GSG1	10727	0.008448608219623566	0.12530252	Yes	
row_58	CSNK2A2	10984	0.007623577024787664	0.12534244	Yes	
row_59	THEG	11073	0.007376005407422781	0.13032775	Yes	
row_60	CFTR	11267	0.006834903731942177	0.13222219	Yes	
row_61	SCG5	11486	0.006211163476109505	0.13338071	Yes	
row_62	STAM2	11671	0.0056177047081291676	0.13554008	Yes	
row_63	CCNA1	11696	0.005559114273637533	0.14240935	Yes	
row_64	DNAJB8	11805	0.00522191496565938	0.14680593	Yes	
row_65	RPL39L	11903	0.004925168585032225	0.15152632	Yes	
row_66	PRM2	12722	0.002979388926178217	0.13502271	No	
row_67	CRISP2	13239	0.0020210803486406803	0.12740904	No	
row_68	NEFH	13254	0.0019978664349764585	0.13457268	No	
row_69	NF2	13381	0.0017905144486576319	0.13843939	No	
row_70	ADAM2	13705	0.0013052956201136112	0.13650705	No	
row_71	CST8	14742	1.4625814219471067E-4	0.1135862	No	
row_72	HTR5A	15192	-2.955661038868129E-4	0.1079448	No	
row_73	CLVS1	15654	-7.799348095431924E-4	0.10195016	No	
row_74	IDE	15793	-9.317157091572881E-4	0.10546363	No	
row_75	ZNRF4	16020	-0.0011855288175866008	0.106386654	No	
row_76	ACTL7B	16258	-0.0015062816673889756	0.106985874	No	
