NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOP56	323	0.24455350637435913	-3.273655E-4	Yes	
row_1	EXOSC10	467	0.20605823397636414	0.0046403212	Yes	
row_2	FUS	629	0.17835679650306702	0.009078503	Yes	
row_3	EIF4A2	639	0.17626819014549255	0.017988062	Yes	
row_4	XPOT	896	0.15138264000415802	0.019631632	Yes	
row_5	DKC1	1164	0.13110193610191345	0.020951616	Yes	
row_6	DDX10	1340	0.12073232233524323	0.02497796	Yes	
row_7	SLC30A5	1543	0.11137024313211441	0.028210048	Yes	
row_8	EIF4A3	1906	0.09780275076627731	0.02673542	Yes	
row_9	TTC37	1941	0.09664282947778702	0.034909554	Yes	
row_10	EXOSC9	2014	0.09431488811969757	0.041965846	Yes	
row_11	LSM4	2164	0.0902009978890419	0.04675703	Yes	
row_12	CNOT6	2234	0.08819212764501572	0.05390157	Yes	
row_13	NOP14	2670	0.07776141166687012	0.050279506	Yes	
row_14	EIF4EBP1	2747	0.07622826099395752	0.05721813	Yes	
row_15	KHSRP	3044	0.07050769031047821	0.05768502	Yes	
row_16	EXOSC2	3124	0.06931693106889725	0.064535394	Yes	
row_17	NABP1	3171	0.06838596612215042	0.07235653	Yes	
row_18	NPM1	3320	0.06589820981025696	0.07717713	Yes	
row_19	LSM1	3403	0.0640575960278511	0.08393925	Yes	
row_20	EXOSC5	3745	0.05852347984910011	0.08308238	Yes	
row_21	NOLC1	4175	0.052670810371637344	0.07963681	Yes	
row_22	EIF4A1	4443	0.04936503246426582	0.0809568	Yes	
row_23	SDAD1	4553	0.04790734872221947	0.086924665	Yes	
row_24	GEMIN4	4615	0.04722364619374275	0.09430454	Yes	
row_25	CXXC1	4704	0.04635266959667206	0.10089016	Yes	
row_26	TUBB2A	5025	0.0429760105907917	0.10065105	Yes	
row_27	EXOC2	5345	0.039968401193618774	0.100441344	Yes	
row_28	CKS1B	5388	0.039593927562236786	0.10838015	Yes	
row_29	PREB	5941	0.03471231460571289	0.101316296	Yes	
