NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDC	16	1.2873841524124146	0.0045785983	No	
row_1	GAD1	19	1.2071274518966675	0.009570115	No	
row_2	ANGPTL3	260	0.2673593759536743	0.007542018	No	
row_3	BPHL	354	0.23622864484786987	0.009849565	No	
row_4	GART	442	0.21120400726795197	0.012334077	No	
row_5	RETSAT	509	0.19814471900463104	0.015437966	No	
row_6	SLC35D1	737	0.1662730872631073	0.013793293	No	
row_7	CROT	781	0.16237138211727142	0.017575549	No	
row_8	GCNT2	1454	0.11518635600805283	0.0028059687	No	
row_9	TMEM97	1503	0.11287681758403778	0.0064407536	No	
row_10	SLC22A1	1527	0.11189418286085129	0.010812893	No	
row_11	ACOX3	1785	0.1020011156797409	0.008283394	No	
row_12	ARPP19	1844	0.10008449852466583	0.011623237	No	
row_13	ETFDH	2124	0.09153315424919128	0.008444868	No	
row_14	ABCC2	2141	0.09080197662115097	0.013023466	No	
row_15	ACP1	2311	0.08591675758361816	0.013089456	No	
row_16	GCLC	2333	0.08554764837026596	0.017520582	No	
row_17	MCCC2	2466	0.0826721265912056	0.018677857	No	
row_18	PTGR1	3833	0.05720291659235954	-0.016560681	No	
row_19	CES1	3923	0.05596771091222763	-0.014135157	No	
row_20	PYCR1	4261	0.051683373749256134	-0.01902419	No	
row_21	GSTM4	4476	0.04889252036809921	-0.020285437	No	
row_22	DHRS1	4558	0.04786478728055954	-0.017623961	No	
row_23	RAP1GAP	4928	0.04399047791957855	-0.023456806	No	
row_24	PEMT	4934	0.04393267631530762	-0.018553771	No	
row_25	SLC1A5	5078	0.04248860478401184	-0.017720934	No	
row_26	CSAD	5166	0.041520413011312485	-0.0152364215	No	
row_27	ACOX1	5271	0.040628254413604736	-0.013253311	No	
row_28	PTS	5290	0.04046323150396347	-0.008733701	No	
row_29	GSR	5310	0.0403129979968071	-0.0042435853	No	
row_30	MTHFD1	5483	0.03867177292704582	-0.004266078	No	
row_31	HNF4A	5488	0.0386076420545578	6.664503E-4	No	
row_32	ELOVL5	5583	0.03767751157283783	0.002944503	No	
