NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	198	0.45773247	7.528658	0.0	0.0	0.0	9454	tags=73%, list=28%, signal=101%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	196	0.4252627	6.9744587	0.0	0.0	0.0	6633	tags=62%, list=19%, signal=76%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	195	0.40075076	6.50804	0.0	0.0	0.0	10195	tags=70%, list=30%, signal=99%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	0.48721823	4.2918773	0.0	0.0	0.0	5755	tags=66%, list=17%, signal=79%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	157	0.29458085	4.288894	0.0	0.0	0.0	8897	tags=55%, list=26%, signal=75%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	149	0.24856983	3.4989433	0.0	0.0	0.0	8725	tags=50%, list=26%, signal=67%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	185	0.2183492	3.438149	0.0	0.0	0.0	8815	tags=48%, list=26%, signal=64%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	198	0.2053532	3.3922136	0.0	0.0	0.0	10088	tags=50%, list=30%, signal=71%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	196	0.19802845	3.2122843	0.0	0.0	0.0	8596	tags=45%, list=25%, signal=60%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	197	0.18546183	3.0739102	0.0	0.0	0.0	8079	tags=42%, list=24%, signal=55%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	104	0.23072597	2.7567735	0.0	1.5545455E-4	0.002	5599	tags=39%, list=16%, signal=47%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	95	0.2375113	2.6619914	0.0	2.7067462E-4	0.004	4127	tags=36%, list=12%, signal=41%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	197	0.15219997	2.434759	0.0	4.123953E-4	0.007	9553	tags=43%, list=28%, signal=60%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	132	0.15152632	1.9824181	0.006437768	0.006933861	0.116	11903	tags=50%, list=35%, signal=77%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	112	0.1532215	1.916802	0.01004016	0.009498142	0.17	6666	tags=35%, list=20%, signal=43%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	193	0.1081204	1.7867479	0.01192843	0.019345235	0.337	9055	tags=37%, list=27%, signal=51%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	109	0.13179901	1.6253139	0.03992016	0.04417555	0.65	6782	tags=33%, list=20%, signal=41%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	73	0.13278775	1.3271984	0.14859438	0.15041868	0.978	9028	tags=40%, list=26%, signal=54%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	39	0.14034668	1.0362058	0.3962264	0.39477882	1.0	18828	tags=69%, list=55%, signal=154%	
