NAME	TITLE	SCORE	
TRIM48		2.5809724	
FSTL5		2.2631557	
NPHS2		2.122359	
SLC24A4		2.118052	
TMEM132D		1.8906157	
KCNU1		1.8905766	
PRSS56		1.787154	
NR2E1		1.7011559	
WDR63		1.7007097	
NSFP1		1.6875803	
GAPDHP15		1.5791092	
GABRG3		1.5713283	
AC005524		1.4572583	
PLPPR4		1.4056951	
ZNF725P		1.3939286	
AC010731		1.2903556	
DDC		1.2873842	
CPN2		1.2637389	
CTNNA2		1.2275327	
GAD1		1.2071275	
RPSAP50		1.1951108	
MCOLN3		1.1708336	
AXDND1		1.1105205	
AL033381		1.0790285	
LRRC37A		0.96930546	
HSPE1P5		0.9420154	
MIR920		0.882099	
BRSK2		0.81597936	
KIT		0.7989461	
SNORD92		0.798621	
LSM3P4		0.78137857	
SYDE2		0.7723275	
AL109653		0.73220164	
CDH3		0.7069672	
RPL23AP20		0.7054898	
RPL39P6		0.69346327	
SNORD3B-2		0.68933207	
AK5		0.6722623	
RAC3		0.66944087	
MIR1206		0.63066965	
SNORD51		0.62856895	
NPPA		0.6050048	
INPP4B		0.5995334	
CDK15		0.59650904	
CKS1BP7		0.5934247	
MIR1205		0.5894999	
MIR1243		0.5710999	
TPST2P1		0.5699188	
AL009174		0.5548279	
SLC35G1		0.5384965	
KIAA1456		0.53570926	
AC115223		0.5308078	
RPS15AP28		0.52802455	
PABPC5		0.5241504	
CTH		0.52156883	
ARL4AP5		0.5192339	
P2RX7		0.51755553	
PLEKHA5		0.5096152	
EEF1B2P1		0.5030868	
FAR2		0.50200605	
SORD		0.500801	
GOT2P3		0.4996081	
MYO5A		0.49625042	
SNORD30		0.49536583	
ADAT2		0.49410993	
LRP2BP		0.49089825	
SNORD101		0.48472127	
CDC16		0.4841939	
PTRH1		0.4811265	
SETDB2		0.4804959	
RNF207		0.47822705	
SNX25		0.47430444	
CRNDE		0.47175905	
SNORD3B-1		0.46913305	
MIR562		0.46800104	
AL365205		0.46779287	
MMP17		0.4649951	
TMEM75		0.4647283	
RPL5P24		0.45914882	
SNORA14B		0.45805147	
AC007256		0.45607936	
HNRNPA1P26		0.45370427	
AC131182		0.45202535	
C2orf88		0.44898874	
SEMA3C		0.44743758	
SGCA		0.44690755	
AC010200		0.445036	
MTHFD1L		0.43931744	
AP001024		0.43440115	
PPEF1		0.4328888	
MST1P2		0.43268958	
IQCH-AS1		0.43208125	
SNORD69		0.4284377	
CRYM-AS1		0.42712256	
CKMT2		0.42315158	
C4orf47		0.42308697	
USP48		0.42249566	
CISD1		0.4189372	
ALG6		0.41881695	
NTN3		0.4180417	
MST1L		0.4149977	
ZNF10		0.4076825	
LINC01361		0.40394956	
SNORA14A		0.40316576	
METAP1D		0.40198955	
ANKRD23		0.40188146	
SNORA2A		0.39905134	
NMNAT1		0.39637735	
SNORA65		0.39484182	
FAM106DP		0.39180526	
ZNF345		0.3884337	
AC104986		0.38426834	
TET1P1		0.38411126	
TMEM117		0.38351908	
AC073857		0.38112187	
SNHG1		0.38111168	
RPL23AP35		0.37821952	
AC091042		0.3766748	
ART4		0.37635687	
AFMID		0.37410384	
MACROD2		0.3741037	
TARBP1		0.3740282	
RPL23AP30		0.37322915	
MACROD1		0.371889	
MIR563		0.37045655	
C5orf30		0.36967388	
ACADM		0.36434036	
SOAT1		0.3591191	
AL445305		0.35876095	
WASHC4		0.35772842	
FASTKD1		0.35731578	
PMS1		0.35649237	
POLI		0.35617873	
TMEM241		0.35591233	
ZZZ3		0.35290173	
WDR35		0.3526144	
SLC25A36		0.35198796	
SNORA2C		0.3511388	
ADGRA3		0.3480543	
SLC35B3		0.34636456	
MRAP		0.34572408	
SNORA55		0.3457127	
DYNC2H1		0.34471324	
KCTD3		0.34396607	
GAS5		0.34251344	
EXTL2		0.34103674	
SEMA4C		0.34101084	
LHX4		0.33952698	
SNORD100		0.33810264	
ZNF449		0.3378759	
ERI2		0.33776283	
MYC		0.3372011	
SNORA53		0.33571362	
RAD51C		0.33419845	
SNORA49		0.33158836	
DDX55		0.33100423	
SNORD104		0.3293331	
PHOSPHO2		0.32768378	
PWP1		0.3271162	
TULP3		0.32570854	
CLCN6		0.32527363	
UBE4B		0.3251317	
C19orf44		0.32487094	
C3orf49		0.32443088	
TMEM69		0.32265326	
TASP1		0.32165253	
FAM60BP		0.31976736	
LINC01881		0.31872764	
TXNRD3		0.31850764	
AC026436		0.31648248	
ATP7B		0.316043	
ZNF84		0.31505433	
CEP83		0.3147709	
DPY19L3		0.31387702	
TNFRSF14		0.31373852	
BNIP3		0.31322524	
CHPT1		0.3132245	
FOCAD		0.31276515	
TRIM66		0.31230903	
AC019097		0.31211174	
HIBCH		0.3106677	
AL589647		0.30997035	
SNORA80E		0.30916923	
CBR4		0.3083318	
CYP2U1		0.30788332	
SRSF11		0.3072679	
TMA16P2		0.30685607	
FAM200B		0.3064699	
ZNF283		0.30621627	
HNRNPRP1		0.30545172	
GLS		0.30450532	
DFFB		0.3043525	
GRAMD4		0.3041211	
RPL5P4		0.3039465	
KIAA1841		0.30379602	
MIR591		0.30307963	
AC089984		0.30211946	
OSBPL9		0.30180195	
ANK2		0.30178103	
BCKDHB		0.3002205	
TMCC1-AS1		0.29992256	
WDR19		0.29934317	
CAD		0.29680467	
AK2		0.29649648	
MYSM1		0.29511255	
CCDC110		0.29427528	
AL732414		0.29286903	
TTC4		0.29189888	
GNAI1		0.29185867	
NPIPB1P		0.2913069	
FAM161A		0.29114646	
ZNF790		0.28873184	
DPH6		0.28834075	
IPP		0.2870673	
RIC8B		0.2862882	
GTF2IRD1		0.285453	
SNHG8		0.28518915	
MAPKAPK5		0.28426856	
FAM216A		0.2839718	
PAXBP1		0.28370097	
KNTC1		0.28365478	
ANKRD37		0.2836492	
LINC00680		0.2835958	
CCDC27		0.2826735	
USP40		0.28257066	
ZNF75A		0.28252572	
ACAD10		0.28092116	
CDHR3		0.28081375	
RPAP2		0.28033286	
C1orf112		0.28027898	
DFFA		0.27987173	
DLSTP1		0.27925375	
CUL4A		0.27887544	
SGK3		0.27865934	
FAN1		0.27865788	
NIFK-AS1		0.27852237	
SNORD91B		0.27781805	
HEATR3		0.2772588	
CCDC138		0.2757929	
AP3M2		0.2753164	
EFHC1		0.27450797	
PDXDC1		0.27446765	
SNHG20		0.27390757	
DNAJC16		0.27360743	
ZMYM1		0.2730847	
NSUN4		0.27233014	
RABGGTB		0.27213544	
MLLT10		0.2710904	
CPEB2		0.27103612	
STXBP5		0.27098775	
CCDC150		0.27056426	
HNRNPA1P12		0.27047595	
SNORA23		0.27040815	
OSBPL1A		0.26999202	
ALX1		0.26965484	
RPGRIP1L		0.26865083	
MRPL45P2		0.26864496	
GLMN		0.26848176	
GTF2H4		0.26805037	
GK		0.26775956	
ANGPTL3		0.26735938	
KIF21A		0.26679182	
INTS7		0.2664272	
WDR27		0.26613873	
KLHL17		0.26576272	
ZNF518A		0.2657102	
BTF3P6		0.2643122	
GCFC2		0.2638513	
CHAC2		0.2637575	
NBEAL1		0.26342136	
MGME1		0.2619156	
SNORA5A		0.2617211	
CRLS1		0.26160812	
ANKRD27		0.26120803	
LDAH		0.26109892	
ZSCAN20		0.26030013	
FPGT		0.26018357	
PRELID3A		0.2589421	
GANC		0.25856403	
DOCK7		0.25808778	
EXOSC8		0.25801805	
SWT1		0.25780421	
PTPN14		0.2576676	
ZC3H13		0.25754958	
DPY19L4		0.25749788	
GTF2H1		0.25696722	
SNORA58		0.2565577	
RPAP2P1		0.25624886	
MFSD4B		0.2560452	
SMIM19		0.2558826	
ZNF26		0.25573987	
USP13		0.25558048	
ENOSF1		0.2555783	
PRIM2		0.25544643	
FDPSP7		0.25524533	
CYTH3		0.25520134	
NHSL1		0.25452343	
MTR		0.2545172	
BRWD1		0.25448602	
ZSCAN31		0.25440875	
SLC25A24		0.2540573	
ARMCX1		0.25398117	
PTCD3		0.2533463	
ANKRD20A3		0.25303575	
SCYL2		0.25218472	
OCRL		0.251928	
PKD2		0.25180128	
RPS7P4		0.25153425	
RPL9P30		0.25113887	
SNORA33		0.25102276	
NAA10		0.2505195	
RPEP3		0.2504792	
TARDBP		0.24984148	
TMEM14A		0.24970977	
ZFP28		0.249214	
LETMD1		0.24908133	
TYW1B		0.24871281	
SLC25A15		0.24870728	
ARL6IP6		0.24768123	
MAT2A		0.24723062	
FGFR1OP		0.24635883	
HAUS3		0.24549955	
MLXIP		0.24521057	
NOP56		0.2445535	
ZNF75BP		0.24446562	
ZNF37BP		0.24402912	
BTBD10P2		0.2440084	
