"Group"	"Hazard_Ratio"	"Lower_HazardRatio"	"Upper_HazardRatio"	"p_value"	"Event"
"GRAMD1B"	"0.619751954361128"	"0.463369693784255"	"0.828911536698971"	"0.00126114645150143"	"OS"
"GRAMD1B+Sex"	"0.620608666253852"	"0.463092331405517"	"0.831702644395801"	"0.00140500891774075"	"OS"
"GRAMD1B+Age"	"0.633857974381645"	"0.471815517335358"	"0.85155302639533"	"0.00247201264180094"	"OS"
"GRAMD1B+Stage"	"0.60889579380557"	"0.452797527609336"	"0.818807668124007"	"0.00102803833303418"	"OS"
"GRAMD1B+ECOG"	"0.621227852449399"	"0.463928773798099"	"0.831860549410213"	"0.00139464467949068"	"OS"
"GRAMD1B+Treatment"	"0.620959287413479"	"0.463674940455012"	"0.831596454720347"	"0.00138671650002907"	"OS"
"GRAMD1B+Nclass"	"0.600607361650631"	"0.445764859757963"	"0.80923651780178"	"0.000804064969604891"	"OS"
"GRAMD1B+NRAS"	"0.579141286002186"	"0.370495769628152"	"0.905285988795216"	"0.0165502270621622"	"OS"
"GRAMD1B+Sex+Age+Stage+
ECOG+treatment+Nclass+NRAS"	"0.493508427395034"	"0.299925790037939"	"0.812036096926216"	"0.0054458766633738"	"OS"
"GRAMD1B+Sex+Age+Stage+
ECOG+treatment+Nclass+NRAS+
TIL count"	"0.516584506371835"	"0.288878415672527"	"0.923778093985205"	"0.0259263016347967"	"OS"
