"Group"	"Hazard_Ratio"	"Lower_HazardRatio"	"Upper_HazardRatio"	"p_value"	"Event"
"GRAMD1B"	"0.580379278241636"	"0.444052143380956"	"0.75855980346728"	"6.80971217001636e-05"	"PFS"
"GRAMD1B+Sex"	"0.580557102141641"	"0.444018517120207"	"0.759082191060633"	"7.04019543813369e-05"	"PFS"
"GRAMD1B+Age"	"0.591283371138311"	"0.450671217153604"	"0.775767370263465"	"0.000149135239007808"	"PFS"
"GRAMD1B+Stage"	"0.55874196930606"	"0.424555455899458"	"0.735339951297074"	"3.26945007271948e-05"	"PFS"
"GRAMD1B+ECOG"	"0.580122330272516"	"0.443385654611692"	"0.759027529601856"	"7.1760417062358e-05"	"PFS"
"GRAMD1B+Treatment"	"0.573166911548816"	"0.437264093837955"	"0.751308678494316"	"5.56054625870155e-05"	"PFS"
"GRAMD1B+Nclass"	"0.581233738078601"	"0.440565649616094"	"0.766815702892881"	"0.000124047639862512"	"PFS"
"GRAMD1B+NRAS"	"0.568538509847816"	"0.371805110017568"	"0.869369539231729"	"0.00916074222887087"	"PFS"
"GRAMD1B+Sex+Age+Stage+
ECOG+treatment+Nclass+NRAS"	"0.564843377833181"	"0.350843452671867"	"0.90937436355808"	"0.018725265931435"	"PFS"
"GRAMD1B+Sex+Age+Stage+
ECOG+treatment+Nclass+NRAS+
TIL count"	"0.62504973806397"	"0.36656144511809"	"1.06581633245137"	"0.084371582426182"	"PFS"
