NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GMPR	1367	0.11968410760164261	-0.029670108	No	
row_1	TDRD7	5335	0.04005876183509827	-0.13579282	No	
row_2	PNPT1	6917	0.027043132111430168	-0.17175557	No	
row_3	CMTR1	11013	0.007537892088294029	-0.28164208	No	
row_4	CASP1	17858	-0.004346226807683706	-0.47236255	No	
row_5	RIPK2	20397	-0.010673688724637032	-0.5364657	No	
row_6	MOV10	20523	-0.011020392179489136	-0.529615	No	
row_7	TMEM140	25614	-0.030802829191088676	-0.66875935	No	
row_8	MVB12A	27240	-0.04057192802429199	-0.70601594	Yes	
row_9	LGALS3BP	27333	-0.04129360616207123	-0.69819486	Yes	
row_10	PSMA3	27516	-0.04269477352499962	-0.6930202	Yes	
row_11	CXCL11	27622	-0.04341134801506996	-0.6855814	Yes	
row_12	RTP4	27899	-0.045436132699251175	-0.68317086	Yes	
row_13	TRIM26	28020	-0.04651495814323425	-0.6761731	Yes	
row_14	IL7	28579	-0.0517534576356411	-0.6820547	Yes	
row_15	CXCL10	29220	-0.0590178519487381	-0.6903475	Yes	
row_16	CCRL2	29372	-0.06093675643205643	-0.68426126	Yes	
row_17	TXNIP	29417	-0.061492014676332474	-0.6750288	Yes	
row_18	NCOA7	29682	-0.06465622037649155	-0.67226535	Yes	
row_19	TRIM25	30124	-0.07106805592775345	-0.6747066	Yes	
row_20	ELF1	30273	-0.07374539971351624	-0.66853213	Yes	
row_21	BST2	31205	-0.09561605751514435	-0.68538177	Yes	
row_22	PLSCR1	31252	-0.09701541811227798	-0.6762081	Yes	
row_23	BATF2	31404	-0.10224514454603195	-0.6701219	Yes	
row_24	RNF31	31567	-0.10877212136983871	-0.66435915	Yes	
row_25	LPAR6	31630	-0.11194061487913132	-0.6556559	Yes	
row_26	STAT2	31694	-0.11485474556684494	-0.64698213	Yes	
row_27	SLC25A28	31837	-0.12252499163150787	-0.6406313	Yes	
row_28	EIF2AK2	31842	-0.12277554720640182	-0.6302226	Yes	
row_29	TRIM5	32016	-0.13356620073318481	-0.62478334	Yes	
row_30	LY6E	32083	-0.1390085369348526	-0.6161977	Yes	
row_31	TRAFD1	32176	-0.14815030992031097	-0.6083767	Yes	
row_32	NUB1	32229	-0.15341457724571228	-0.59937936	Yes	
row_33	CASP8	32250	-0.1557711809873581	-0.5894412	Yes	
row_34	CNP	32304	-0.16027134656906128	-0.5804733	Yes	
row_35	IFITM3	32459	-0.1838022917509079	-0.57447535	Yes	
row_36	CD47	32561	-0.20392940938472748	-0.5669189	Yes	
row_37	PSME2	32635	-0.22083087265491486	-0.55853915	Yes	
row_38	IRF2	32641	-0.22338394820690155	-0.54815984	Yes	
row_39	IRF9	32653	-0.22736065089702606	-0.537957	Yes	
row_40	IL4R	32678	-0.23639962077140808	-0.5281364	Yes	
row_41	PARP9	32682	-0.23730036616325378	-0.5176983	Yes	
row_42	B2M	32729	-0.2489909827709198	-0.5085246	Yes	
row_43	TRIM21	32767	-0.25845491886138916	-0.49908626	Yes	
row_44	PSME1	32777	-0.2615281641483307	-0.48882458	Yes	
row_45	ADAR	32828	-0.28064000606536865	-0.4797685	Yes	
row_46	PSMB8	32844	-0.28898558020591736	-0.46968326	Yes	
row_47	HELZ2	32845	-0.2890724539756775	-0.45915696	Yes	
row_48	SP110	32855	-0.2918669283390045	-0.44889528	Yes	
row_49	PROCR	32948	-0.3300037980079651	-0.44107422	Yes	
row_50	HLA-C	32949	-0.3307657837867737	-0.4305479	Yes	
row_51	OGFR	32993	-0.3537023067474365	-0.421286	Yes	
row_52	DDX60	33049	-0.37659355998039246	-0.41237694	Yes	
row_53	IRF7	33066	-0.3871263265609741	-0.4023211	Yes	
row_54	LAP3	33090	-0.3998841643333435	-0.3924711	Yes	
row_55	USP18	33096	-0.4018539786338806	-0.3820918	Yes	
row_56	PARP14	33149	-0.42770275473594666	-0.37309453	Yes	
row_57	IFITM2	33161	-0.43287399411201477	-0.36289167	Yes	
row_58	IFIH1	33204	-0.4547455906867981	-0.35360035	Yes	
row_59	TAP1	33221	-0.46021780371665955	-0.3435445	Yes	
row_60	IFI30	33239	-0.46767696738243103	-0.3335181	Yes	
row_61	TRIM14	33267	-0.48241961002349854	-0.3237857	Yes	
row_62	HERC6	33293	-0.49646127223968506	-0.3139945	Yes	
row_63	IFI44	33307	-0.5007379055023193	-0.30385047	Yes	
row_64	IFI35	33312	-0.5013612508773804	-0.29344177	Yes	
row_65	DHX58	33313	-0.502141535282135	-0.28291544	Yes	
row_66	IFI27	33319	-0.504494309425354	-0.27253616	Yes	
row_67	LAMP3	33320	-0.5049234628677368	-0.26200983	Yes	
row_68	NMI	33337	-0.51158607006073	-0.251954	Yes	
row_69	IFITM1	33350	-0.5192438364028931	-0.24178053	Yes	
row_70	CSF1	33443	-0.571437656879425	-0.23395947	Yes	
row_71	UBA7	33486	-0.5949486494064331	-0.22466816	Yes	
row_72	SAMD9	33545	-0.6279120445251465	-0.21584733	Yes	
row_73	IFIT3	33561	-0.6390923857688904	-0.20576207	Yes	
row_74	IL15	33599	-0.6598981618881226	-0.19632374	Yes	
row_75	IFI44L	33617	-0.6679211258888245	-0.18629731	Yes	
row_76	C1S	33636	-0.6769532561302185	-0.17630027	Yes	
row_77	ISG20	33649	-0.6846969723701477	-0.16612682	Yes	
row_78	PARP12	33651	-0.6851539611816406	-0.1556299	Yes	
row_79	GBP2	33669	-0.6999629735946655	-0.14560348	Yes	
row_80	PSMB9	33672	-0.7028551697731018	-0.13513596	Yes	
row_81	OAS1	33712	-0.7329620122909546	-0.12575644	Yes	
row_82	IRF1	33740	-0.7491136193275452	-0.116024055	Yes	
row_83	SELL	33751	-0.7594917416572571	-0.105791785	Yes	
row_84	SAMD9L	33762	-0.768277108669281	-0.09555952	Yes	
row_85	UBE2L6	33782	-0.7915314435958862	-0.0855919	Yes	
row_86	IFIT2	33792	-0.8004546761512756	-0.07533022	Yes	
row_87	MX1	33810	-0.8158826231956482	-0.06530379	Yes	
row_88	ISG15	33879	-0.8994110226631165	-0.056777004	Yes	
row_89	CD74	33950	-1.0141090154647827	-0.048309024	Yes	
row_90	OASL	33983	-1.0719470977783203	-0.038723666	Yes	
row_91	EPSTI1	34025	-1.1691293716430664	-0.029402947	Yes	
row_92	GBP4	34026	-1.1695853471755981	-0.01887663	Yes	
